Date;Indicator;Values
2000-07-01;Germany..Consumer.confidence.index;100.8
2000-07-01;Global..Business.confidence.index;100.8
2000-07-01;Global..Consumer.confidence.index;102.2
2000-08-01;Europe..Business.confidence.index;102.3
2000-08-01;Europe..Consumer.confidence.index;102.5
2000-08-01;Germany..Business.confidence.index;101.0
2000-08-01;Germany..Composite.leading.indicator;102.3
2000-08-01;Germany..Consumer.confidence.index;100.7
2000-08-01;Global..Business.confidence.index;100.7
2000-08-01;Global..Consumer.confidence.index;102.2
2000-09-01;Europe..Business.confidence.index;102.2
2000-09-01;Europe..Consumer.confidence.index;102.3
2000-09-01;Germany..Business.confidence.index;101.0
2000-09-01;Germany..Composite.leading.indicator;102.3
2000-09-01;Germany..Consumer.confidence.index;100.5
2000-09-01;Global..Business.confidence.index;100.6
2000-09-01;Global..Consumer.confidence.index;102.1
2000-10-01;Europe..Business.confidence.index;102.1
2000-10-01;Europe..Consumer.confidence.index;102.3
2000-10-01;Germany..Business.confidence.index;101.0
2000-10-01;Germany..Composite.leading.indicator;102.2
2000-10-01;Germany..Consumer.confidence.index;100.4
2000-10-01;Global..Business.confidence.index;100.4
2000-10-01;Global..Consumer.confidence.index;102.0
2000-11-01;Europe..Business.confidence.index;101.9
2000-11-01;Europe..Consumer.confidence.index;102.4
2000-11-01;Germany..Business.confidence.index;100.9
2000-11-01;Germany..Composite.leading.indicator;102.0
2000-11-01;Germany..Consumer.confidence.index;100.4
2000-11-01;Global..Business.confidence.index;100.3
2000-11-01;Global..Consumer.confidence.index;101.8
2000-12-01;Europe..Business.confidence.index;101.6
2000-12-01;Europe..Consumer.confidence.index;102.5
2000-12-01;Germany..Business.confidence.index;100.8
2000-12-01;Germany..Composite.leading.indicator;101.7
2000-12-01;Germany..Consumer.confidence.index;100.5
2000-12-01;Global..Business.confidence.index;100.0
2000-12-01;Global..Consumer.confidence.index;101.6
2001-01-01;Europe..Business.confidence.index;101.3
2001-01-01;Europe..Consumer.confidence.index;102.5
2001-01-01;Germany..Business.confidence.index;100.6
2001-01-01;Germany..Composite.leading.indicator;101.3
2001-01-01;Germany..Consumer.confidence.index;100.6
2001-01-01;Global..Business.confidence.index;99.7
2001-01-01;Global..Consumer.confidence.index;101.4
2001-02-01;Europe..Business.confidence.index;100.8
2001-02-01;Europe..Consumer.confidence.index;102.3
2001-02-01;Germany..Business.confidence.index;100.3
2001-02-01;Germany..Composite.leading.indicator;100.8
2001-02-01;Germany..Consumer.confidence.index;100.6
2001-02-01;Global..Business.confidence.index;99.4
2001-02-01;Global..Consumer.confidence.index;101.2
2001-03-01;Europe..Business.confidence.index;100.4
2001-03-01;Europe..Consumer.confidence.index;102.1
2001-03-01;Germany..Business.confidence.index;99.9
2001-03-01;Germany..Composite.leading.indicator;100.4
2001-03-01;Germany..Consumer.confidence.index;100.6
2001-03-01;Global..Business.confidence.index;99.2
2001-03-01;Global..Consumer.confidence.index;101.1
2001-04-01;Europe..Business.confidence.index;99.9
2001-04-01;Europe..Consumer.confidence.index;101.8
2001-04-01;Germany..Business.confidence.index;99.6
2001-04-01;Germany..Composite.leading.indicator;99.9
2001-04-01;Germany..Consumer.confidence.index;100.4
2001-04-01;Global..Business.confidence.index;99.1
2001-04-01;Global..Consumer.confidence.index;101.1
2001-05-01;Europe..Business.confidence.index;99.6
2001-05-01;Europe..Consumer.confidence.index;101.5
2001-05-01;Germany..Business.confidence.index;99.3
2001-05-01;Germany..Composite.leading.indicator;99.4
2001-05-01;Germany..Consumer.confidence.index;100.1
2001-05-01;Global..Business.confidence.index;99.1
2001-05-01;Global..Consumer.confidence.index;101.0
2001-06-01;Europe..Business.confidence.index;99.4
2001-06-01;Europe..Consumer.confidence.index;101.3
2001-06-01;Germany..Business.confidence.index;99.2
2001-06-01;Germany..Composite.leading.indicator;99.0
2001-06-01;Germany..Consumer.confidence.index;99.8
2001-06-01;Global..Business.confidence.index;99.1
2001-06-01;Global..Consumer.confidence.index;101.0
2001-07-01;Europe..Business.confidence.index;99.2
2001-07-01;Europe..Consumer.confidence.index;101.1
2001-07-01;Germany..Business.confidence.index;99.0
2001-07-01;Germany..Composite.leading.indicator;98.7
2001-07-01;Germany..Consumer.confidence.index;99.5
2001-07-01;Global..Business.confidence.index;99.0
2001-07-01;Global..Consumer.confidence.index;100.9
2001-08-01;Europe..Business.confidence.index;98.9
2001-08-01;Europe..Consumer.confidence.index;100.9
2001-08-01;Germany..Business.confidence.index;98.8
2001-08-01;Germany..Composite.leading.indicator;98.4
2001-08-01;Germany..Consumer.confidence.index;99.4
2001-08-01;Global..Business.confidence.index;98.9
2001-08-01;Global..Consumer.confidence.index;100.7
2001-09-01;Europe..Business.confidence.index;98.4
2001-09-01;Europe..Consumer.confidence.index;100.7
2001-09-01;Germany..Business.confidence.index;98.5
2001-09-01;Germany..Composite.leading.indicator;98.2
2001-09-01;Germany..Consumer.confidence.index;99.3
2001-09-01;Global..Business.confidence.index;98.5
2001-09-01;Global..Consumer.confidence.index;100.4
2001-10-01;Europe..Business.confidence.index;98.1
2001-10-01;Europe..Consumer.confidence.index;100.7
2001-10-01;Germany..Business.confidence.index;98.2
2001-10-01;Germany..Composite.leading.indicator;98.2
2001-10-01;Germany..Consumer.confidence.index;99.2
2001-10-01;Global..Business.confidence.index;98.2
2001-10-01;Global..Consumer.confidence.index;100.3
2001-11-01;Europe..Business.confidence.index;98.0
2001-11-01;Europe..Consumer.confidence.index;100.8
2001-11-01;Germany..Business.confidence.index;98.2
2001-11-01;Germany..Composite.leading.indicator;98.3
2001-11-01;Germany..Consumer.confidence.index;99.1
2001-11-01;Global..Business.confidence.index;98.2
2001-11-01;Global..Consumer.confidence.index;100.4
2001-12-01;Europe..Business.confidence.index;98.2
2001-12-01;Europe..Consumer.confidence.index;100.9
2001-12-01;Germany..Business.confidence.index;98.3
2001-12-01;Germany..Composite.leading.indicator;98.4
2001-12-01;Germany..Consumer.confidence.index;98.9
2001-12-01;Global..Business.confidence.index;98.4
2001-12-01;Global..Consumer.confidence.index;100.5
2002-01-01;Europe..Business.confidence.index;98.5
2002-01-01;Europe..Consumer.confidence.index;101.0
2002-01-01;Germany..Business.confidence.index;98.4
2002-01-01;Germany..Composite.leading.indicator;98.7
2002-01-01;Germany..Consumer.confidence.index;98.8
2002-01-01;Global..Business.confidence.index;98.7
2002-01-01;Global..Consumer.confidence.index;100.7
2002-02-01;Europe..Business.confidence.index;98.8
2002-02-01;Europe..Consumer.confidence.index;101.0
2002-02-01;Germany..Business.confidence.index;98.6
2002-02-01;Germany..Composite.leading.indicator;99.0
2002-02-01;Germany..Consumer.confidence.index;98.7
2002-02-01;Global..Business.confidence.index;99.2
2002-02-01;Global..Consumer.confidence.index;100.8
2002-03-01;Europe..Business.confidence.index;99.1
2002-03-01;Europe..Consumer.confidence.index;101.0
2002-03-01;Germany..Business.confidence.index;98.8
2002-03-01;Germany..Composite.leading.indicator;99.2
2002-03-01;Germany..Consumer.confidence.index;98.7
2002-03-01;Global..Business.confidence.index;99.5
2002-03-01;Global..Consumer.confidence.index;101.0
2002-04-01;Europe..Business.confidence.index;99.3
2002-04-01;Europe..Consumer.confidence.index;100.7
2002-04-01;Germany..Business.confidence.index;99.0
2002-04-01;Germany..Composite.leading.indicator;99.3
2002-04-01;Germany..Consumer.confidence.index;98.6
2002-04-01;Global..Business.confidence.index;99.7
2002-04-01;Global..Consumer.confidence.index;101.0
2002-05-01;Europe..Business.confidence.index;99.4
2002-05-01;Europe..Consumer.confidence.index;100.6
2002-05-01;Germany..Business.confidence.index;99.1
2002-05-01;Germany..Composite.leading.indicator;99.3
2002-05-01;Germany..Consumer.confidence.index;98.6
2002-05-01;Global..Business.confidence.index;99.8
2002-05-01;Global..Consumer.confidence.index;101.0
2002-06-01;Europe..Business.confidence.index;99.4
2002-06-01;Europe..Consumer.confidence.index;100.4
2002-06-01;Germany..Business.confidence.index;99.1
2002-06-01;Germany..Composite.leading.indicator;99.3
2002-06-01;Germany..Consumer.confidence.index;98.6
2002-06-01;Global..Business.confidence.index;99.7
2002-06-01;Global..Consumer.confidence.index;100.9
2002-07-01;Europe..Business.confidence.index;99.3
2002-07-01;Europe..Consumer.confidence.index;100.2
2002-07-01;Germany..Business.confidence.index;99.0
2002-07-01;Germany..Composite.leading.indicator;99.1
2002-07-01;Germany..Consumer.confidence.index;98.6
2002-07-01;Global..Business.confidence.index;99.6
2002-07-01;Global..Consumer.confidence.index;100.7
2002-08-01;Europe..Business.confidence.index;99.3
2002-08-01;Europe..Consumer.confidence.index;100.1
2002-08-01;Germany..Business.confidence.index;99.0
2002-08-01;Germany..Composite.leading.indicator;98.9
2002-08-01;Germany..Consumer.confidence.index;98.6
2002-08-01;Global..Business.confidence.index;99.5
2002-08-01;Global..Consumer.confidence.index;100.6
2002-09-01;Europe..Business.confidence.index;99.2
2002-09-01;Europe..Consumer.confidence.index;99.9
2002-09-01;Germany..Business.confidence.index;98.9
2002-09-01;Germany..Composite.leading.indicator;98.7
2002-09-01;Germany..Consumer.confidence.index;98.4
2002-09-01;Global..Business.confidence.index;99.5
2002-09-01;Global..Consumer.confidence.index;100.4
2002-10-01;Europe..Business.confidence.index;99.2
2002-10-01;Europe..Consumer.confidence.index;99.7
2002-10-01;Germany..Business.confidence.index;98.9
2002-10-01;Germany..Composite.leading.indicator;98.6
2002-10-01;Germany..Consumer.confidence.index;97.9
2002-10-01;Global..Business.confidence.index;99.5
2002-10-01;Global..Consumer.confidence.index;100.2
2002-11-01;Europe..Business.confidence.index;99.1
2002-11-01;Europe..Consumer.confidence.index;99.3
2002-11-01;Germany..Business.confidence.index;98.9
2002-11-01;Germany..Composite.leading.indicator;98.4
2002-11-01;Germany..Consumer.confidence.index;97.2
2002-11-01;Global..Business.confidence.index;99.5
2002-11-01;Global..Consumer.confidence.index;100.1
2002-12-01;Europe..Business.confidence.index;99.1
2002-12-01;Europe..Consumer.confidence.index;98.9
2002-12-01;Germany..Business.confidence.index;98.9
2002-12-01;Germany..Composite.leading.indicator;98.4
2002-12-01;Germany..Consumer.confidence.index;96.9
2002-12-01;Global..Business.confidence.index;99.5
2002-12-01;Global..Consumer.confidence.index;100.0
2003-01-01;Europe..Business.confidence.index;99.1
2003-01-01;Europe..Consumer.confidence.index;98.6
2003-01-01;Germany..Business.confidence.index;98.9
2003-01-01;Germany..Composite.leading.indicator;98.4
2003-01-01;Germany..Consumer.confidence.index;96.9
2003-01-01;Global..Business.confidence.index;99.3
2003-01-01;Global..Consumer.confidence.index;99.8
2003-02-01;Europe..Business.confidence.index;99.0
2003-02-01;Europe..Consumer.confidence.index;98.4
2003-02-01;Germany..Business.confidence.index;98.8
2003-02-01;Germany..Composite.leading.indicator;98.5
2003-02-01;Germany..Consumer.confidence.index;96.9
2003-02-01;Global..Business.confidence.index;99.1
2003-02-01;Global..Consumer.confidence.index;99.6
2003-03-01;Europe..Business.confidence.index;98.9
2003-03-01;Europe..Consumer.confidence.index;98.3
2003-03-01;Germany..Business.confidence.index;98.8
2003-03-01;Germany..Composite.leading.indicator;98.5
2003-03-01;Germany..Consumer.confidence.index;97.1
2003-03-01;Global..Business.confidence.index;98.9
2003-03-01;Global..Consumer.confidence.index;99.6
2003-04-01;Europe..Business.confidence.index;98.8
2003-04-01;Europe..Consumer.confidence.index;98.5
2003-04-01;Germany..Business.confidence.index;98.7
2003-04-01;Germany..Composite.leading.indicator;98.7
2003-04-01;Germany..Consumer.confidence.index;97.4
2003-04-01;Global..Business.confidence.index;98.9
2003-04-01;Global..Consumer.confidence.index;99.8
2003-05-01;Europe..Business.confidence.index;98.7
2003-05-01;Europe..Consumer.confidence.index;98.7
2003-05-01;Germany..Business.confidence.index;98.7
2003-05-01;Germany..Composite.leading.indicator;98.8
2003-05-01;Germany..Consumer.confidence.index;97.7
2003-05-01;Global..Business.confidence.index;99.0
2003-05-01;Global..Consumer.confidence.index;100.1
2003-06-01;Europe..Business.confidence.index;98.7
2003-06-01;Europe..Consumer.confidence.index;98.9
2003-06-01;Germany..Business.confidence.index;98.6
2003-06-01;Germany..Composite.leading.indicator;99.0
2003-06-01;Germany..Consumer.confidence.index;98.0
2003-06-01;Global..Business.confidence.index;99.2
2003-06-01;Global..Consumer.confidence.index;100.3
2003-07-01;Europe..Business.confidence.index;98.8
2003-07-01;Europe..Consumer.confidence.index;99.0
2003-07-01;Germany..Business.confidence.index;98.7
2003-07-01;Germany..Composite.leading.indicator;99.3
2003-07-01;Germany..Consumer.confidence.index;98.2
2003-07-01;Global..Business.confidence.index;99.3
2003-07-01;Global..Consumer.confidence.index;100.4
2003-08-01;Europe..Business.confidence.index;99.0
2003-08-01;Europe..Consumer.confidence.index;99.1
2003-08-01;Germany..Business.confidence.index;98.9
2003-08-01;Germany..Composite.leading.indicator;99.6
2003-08-01;Germany..Consumer.confidence.index;98.2
2003-08-01;Global..Business.confidence.index;99.6
2003-08-01;Global..Consumer.confidence.index;100.4
2003-09-01;Europe..Business.confidence.index;99.3
2003-09-01;Europe..Consumer.confidence.index;99.1
2003-09-01;Germany..Business.confidence.index;99.2
2003-09-01;Germany..Composite.leading.indicator;99.8
2003-09-01;Germany..Consumer.confidence.index;98.2
2003-09-01;Global..Business.confidence.index;99.8
2003-09-01;Global..Consumer.confidence.index;100.4
2003-10-01;Europe..Business.confidence.index;99.5
2003-10-01;Europe..Consumer.confidence.index;99.2
2003-10-01;Germany..Business.confidence.index;99.4
2003-10-01;Germany..Composite.leading.indicator;100.0
2003-10-01;Germany..Consumer.confidence.index;98.2
2003-10-01;Global..Business.confidence.index;100.1
2003-10-01;Global..Consumer.confidence.index;100.4
2003-11-01;Europe..Business.confidence.index;99.7
2003-11-01;Europe..Consumer.confidence.index;99.3
2003-11-01;Germany..Business.confidence.index;99.5
2003-11-01;Germany..Composite.leading.indicator;100.2
2003-11-01;Germany..Consumer.confidence.index;98.3
2003-11-01;Global..Business.confidence.index;100.4
2003-11-01;Global..Consumer.confidence.index;100.6
2003-12-01;Europe..Business.confidence.index;99.8
2003-12-01;Europe..Consumer.confidence.index;99.3
2003-12-01;Germany..Business.confidence.index;99.6
2003-12-01;Germany..Composite.leading.indicator;100.3
2003-12-01;Germany..Consumer.confidence.index;98.2
2003-12-01;Global..Business.confidence.index;100.7
2003-12-01;Global..Consumer.confidence.index;100.7
2004-01-01;Europe..Business.confidence.index;99.8
2004-01-01;Europe..Consumer.confidence.index;99.3
2004-01-01;Germany..Business.confidence.index;99.7
2004-01-01;Germany..Composite.leading.indicator;100.4
2004-01-01;Germany..Consumer.confidence.index;98.1
2004-01-01;Global..Business.confidence.index;100.8
2004-01-01;Global..Consumer.confidence.index;100.8
2004-02-01;Europe..Business.confidence.index;99.9
2004-02-01;Europe..Consumer.confidence.index;99.4
2004-02-01;Germany..Business.confidence.index;99.8
2004-02-01;Germany..Composite.leading.indicator;100.4
2004-02-01;Germany..Consumer.confidence.index;98.2
2004-02-01;Global..Business.confidence.index;100.9
2004-02-01;Global..Consumer.confidence.index;100.8
2004-03-01;Europe..Business.confidence.index;100.1
2004-03-01;Europe..Consumer.confidence.index;99.4
2004-03-01;Germany..Business.confidence.index;99.8
2004-03-01;Germany..Composite.leading.indicator;100.4
2004-03-01;Germany..Consumer.confidence.index;98.2
2004-03-01;Global..Business.confidence.index;101.0
2004-03-01;Global..Consumer.confidence.index;100.8
2004-04-01;Europe..Business.confidence.index;100.3
2004-04-01;Europe..Consumer.confidence.index;99.4
2004-04-01;Germany..Business.confidence.index;99.9
2004-04-01;Germany..Composite.leading.indicator;100.5
2004-04-01;Germany..Consumer.confidence.index;98.2
2004-04-01;Global..Business.confidence.index;101.1
2004-04-01;Global..Consumer.confidence.index;100.7
2004-05-01;Europe..Business.confidence.index;100.4
2004-05-01;Europe..Consumer.confidence.index;99.4
2004-05-01;Germany..Business.confidence.index;99.9
2004-05-01;Germany..Composite.leading.indicator;100.5
2004-05-01;Germany..Consumer.confidence.index;98.2
2004-05-01;Global..Business.confidence.index;101.2
2004-05-01;Global..Consumer.confidence.index;100.7
2004-06-01;Europe..Business.confidence.index;100.5
2004-06-01;Europe..Consumer.confidence.index;99.4
2004-06-01;Germany..Business.confidence.index;100.0
2004-06-01;Germany..Composite.leading.indicator;100.4
2004-06-01;Germany..Consumer.confidence.index;98.2
2004-06-01;Global..Business.confidence.index;101.1
2004-06-01;Global..Consumer.confidence.index;100.8
2004-07-01;Europe..Business.confidence.index;100.5
2004-07-01;Europe..Consumer.confidence.index;99.5
2004-07-01;Germany..Business.confidence.index;100.1
2004-07-01;Germany..Composite.leading.indicator;100.4
2004-07-01;Germany..Consumer.confidence.index;98.2
2004-07-01;Global..Business.confidence.index;101.0
2004-07-01;Global..Consumer.confidence.index;100.8
2004-08-01;Europe..Business.confidence.index;100.5
2004-08-01;Europe..Consumer.confidence.index;99.6
2004-08-01;Germany..Business.confidence.index;100.2
2004-08-01;Germany..Composite.leading.indicator;100.4
2004-08-01;Germany..Consumer.confidence.index;98.2
2004-08-01;Global..Business.confidence.index;100.9
2004-08-01;Global..Consumer.confidence.index;100.8
2004-09-01;Europe..Business.confidence.index;100.4
2004-09-01;Europe..Consumer.confidence.index;99.7
2004-09-01;Germany..Business.confidence.index;100.2
2004-09-01;Germany..Composite.leading.indicator;100.3
2004-09-01;Germany..Consumer.confidence.index;98.3
2004-09-01;Global..Business.confidence.index;100.9
2004-09-01;Global..Consumer.confidence.index;100.8
2004-10-01;Europe..Business.confidence.index;100.4
2004-10-01;Europe..Consumer.confidence.index;99.7
2004-10-01;Germany..Business.confidence.index;100.2
2004-10-01;Germany..Composite.leading.indicator;100.2
2004-10-01;Germany..Consumer.confidence.index;98.3
2004-10-01;Global..Business.confidence.index;100.8
2004-10-01;Global..Consumer.confidence.index;100.8
2004-11-01;Europe..Business.confidence.index;100.3
2004-11-01;Europe..Consumer.confidence.index;99.8
2004-11-01;Germany..Business.confidence.index;100.2
2004-11-01;Germany..Composite.leading.indicator;100.2
2004-11-01;Germany..Consumer.confidence.index;98.3
2004-11-01;Global..Business.confidence.index;100.7
2004-11-01;Global..Consumer.confidence.index;100.9
2004-12-01;Europe..Business.confidence.index;100.2
2004-12-01;Europe..Consumer.confidence.index;99.9
2004-12-01;Germany..Business.confidence.index;100.2
2004-12-01;Germany..Composite.leading.indicator;100.1
2004-12-01;Germany..Consumer.confidence.index;98.5
2004-12-01;Global..Business.confidence.index;100.7
2004-12-01;Global..Consumer.confidence.index;101.0
2005-01-01;Europe..Business.confidence.index;100.1
2005-01-01;Europe..Consumer.confidence.index;100.0
2005-01-01;Germany..Business.confidence.index;100.1
2005-01-01;Germany..Composite.leading.indicator;100.0
2005-01-01;Germany..Consumer.confidence.index;98.7
2005-01-01;Global..Business.confidence.index;100.6
2005-01-01;Global..Consumer.confidence.index;101.0
2005-02-01;Europe..Business.confidence.index;99.9
2005-02-01;Europe..Consumer.confidence.index;100.0
2005-02-01;Germany..Business.confidence.index;99.9
2005-02-01;Germany..Composite.leading.indicator;99.8
2005-02-01;Germany..Consumer.confidence.index;98.8
2005-02-01;Global..Business.confidence.index;100.4
2005-02-01;Global..Consumer.confidence.index;101.0
2005-03-01;Europe..Business.confidence.index;99.7
2005-03-01;Europe..Consumer.confidence.index;99.9
2005-03-01;Germany..Business.confidence.index;99.8
2005-03-01;Germany..Composite.leading.indicator;99.7
2005-03-01;Germany..Consumer.confidence.index;98.7
2005-03-01;Global..Business.confidence.index;100.2
2005-03-01;Global..Consumer.confidence.index;100.9
2005-04-01;Europe..Business.confidence.index;99.5
2005-04-01;Europe..Consumer.confidence.index;99.7
2005-04-01;Germany..Business.confidence.index;99.6
2005-04-01;Germany..Composite.leading.indicator;99.6
2005-04-01;Germany..Consumer.confidence.index;98.7
2005-04-01;Global..Business.confidence.index;100.1
2005-04-01;Global..Consumer.confidence.index;100.7
2005-05-01;Europe..Business.confidence.index;99.4
2005-05-01;Europe..Consumer.confidence.index;99.4
2005-05-01;Germany..Business.confidence.index;99.6
2005-05-01;Germany..Composite.leading.indicator;99.6
2005-05-01;Germany..Consumer.confidence.index;98.7
2005-05-01;Global..Business.confidence.index;100.0
2005-05-01;Global..Consumer.confidence.index;100.7
2005-06-01;Europe..Business.confidence.index;99.5
2005-06-01;Europe..Consumer.confidence.index;99.3
2005-06-01;Germany..Business.confidence.index;99.6
2005-06-01;Germany..Composite.leading.indicator;99.6
2005-06-01;Germany..Consumer.confidence.index;98.6
2005-06-01;Global..Business.confidence.index;100.1
2005-06-01;Global..Consumer.confidence.index;100.7
2005-07-01;Europe..Business.confidence.index;99.7
2005-07-01;Europe..Consumer.confidence.index;99.3
2005-07-01;Germany..Business.confidence.index;99.8
2005-07-01;Germany..Composite.leading.indicator;99.7
2005-07-01;Germany..Consumer.confidence.index;98.6
2005-07-01;Global..Business.confidence.index;100.2
2005-07-01;Global..Consumer.confidence.index;100.7
2005-08-01;Europe..Business.confidence.index;99.9
2005-08-01;Europe..Consumer.confidence.index;99.3
2005-08-01;Germany..Business.confidence.index;99.9
2005-08-01;Germany..Composite.leading.indicator;99.8
2005-08-01;Germany..Consumer.confidence.index;98.8
2005-08-01;Global..Business.confidence.index;100.4
2005-08-01;Global..Consumer.confidence.index;100.5
2005-09-01;Europe..Business.confidence.index;100.1
2005-09-01;Europe..Consumer.confidence.index;99.4
2005-09-01;Germany..Business.confidence.index;100.1
2005-09-01;Germany..Composite.leading.indicator;100.0
2005-09-01;Germany..Consumer.confidence.index;98.9
2005-09-01;Global..Business.confidence.index;100.6
2005-09-01;Global..Consumer.confidence.index;100.2
2005-10-01;Europe..Business.confidence.index;100.3
2005-10-01;Europe..Consumer.confidence.index;99.5
2005-10-01;Germany..Business.confidence.index;100.2
2005-10-01;Germany..Composite.leading.indicator;100.3
2005-10-01;Germany..Consumer.confidence.index;99.0
2005-10-01;Global..Business.confidence.index;100.7
2005-10-01;Global..Consumer.confidence.index;100.2
2005-11-01;Europe..Business.confidence.index;100.4
2005-11-01;Europe..Consumer.confidence.index;99.8
2005-11-01;Germany..Business.confidence.index;100.3
2005-11-01;Germany..Composite.leading.indicator;100.5
2005-11-01;Germany..Consumer.confidence.index;99.2
2005-11-01;Global..Business.confidence.index;100.7
2005-11-01;Global..Consumer.confidence.index;100.4
2005-12-01;Europe..Business.confidence.index;100.6
2005-12-01;Europe..Consumer.confidence.index;100.1
2005-12-01;Germany..Business.confidence.index;100.5
2005-12-01;Germany..Composite.leading.indicator;100.8
2005-12-01;Germany..Consumer.confidence.index;99.5
2005-12-01;Global..Business.confidence.index;100.7
2005-12-01;Global..Consumer.confidence.index;100.8
2006-01-01;Europe..Business.confidence.index;100.8
2006-01-01;Europe..Consumer.confidence.index;100.4
2006-01-01;Germany..Business.confidence.index;100.7
2006-01-01;Germany..Composite.leading.indicator;101.1
2006-01-01;Germany..Consumer.confidence.index;99.8
2006-01-01;Global..Business.confidence.index;100.7
2006-01-01;Global..Consumer.confidence.index;101.0
2006-02-01;Europe..Business.confidence.index;101.1
2006-02-01;Europe..Consumer.confidence.index;100.5
2006-02-01;Germany..Business.confidence.index;100.9
2006-02-01;Germany..Composite.leading.indicator;101.3
2006-02-01;Germany..Consumer.confidence.index;100.0
2006-02-01;Global..Business.confidence.index;100.8
2006-02-01;Global..Consumer.confidence.index;101.0
2006-03-01;Europe..Business.confidence.index;101.3
2006-03-01;Europe..Consumer.confidence.index;100.5
2006-03-01;Germany..Business.confidence.index;101.0
2006-03-01;Germany..Composite.leading.indicator;101.4
2006-03-01;Germany..Consumer.confidence.index;100.0
2006-03-01;Global..Business.confidence.index;100.8
2006-03-01;Global..Consumer.confidence.index;101.0
2006-04-01;Europe..Business.confidence.index;101.5
2006-04-01;Europe..Consumer.confidence.index;100.5
2006-04-01;Germany..Business.confidence.index;101.2
2006-04-01;Germany..Composite.leading.indicator;101.5
2006-04-01;Germany..Consumer.confidence.index;100.1
2006-04-01;Global..Business.confidence.index;100.9
2006-04-01;Global..Consumer.confidence.index;100.9
2006-05-01;Europe..Business.confidence.index;101.7
2006-05-01;Europe..Consumer.confidence.index;100.4
2006-05-01;Germany..Business.confidence.index;101.3
2006-05-01;Germany..Composite.leading.indicator;101.6
2006-05-01;Germany..Consumer.confidence.index;100.2
2006-05-01;Global..Business.confidence.index;100.9
2006-05-01;Global..Consumer.confidence.index;100.7
2006-06-01;Europe..Business.confidence.index;101.8
2006-06-01;Europe..Consumer.confidence.index;100.4
2006-06-01;Germany..Business.confidence.index;101.4
2006-06-01;Germany..Composite.leading.indicator;101.6
2006-06-01;Germany..Consumer.confidence.index;100.1
2006-06-01;Global..Business.confidence.index;100.9
2006-06-01;Global..Consumer.confidence.index;100.6
2006-07-01;Europe..Business.confidence.index;101.9
2006-07-01;Europe..Consumer.confidence.index;100.4
2006-07-01;Germany..Business.confidence.index;101.5
2006-07-01;Germany..Composite.leading.indicator;101.6
2006-07-01;Germany..Consumer.confidence.index;100.0
2006-07-01;Global..Business.confidence.index;100.9
2006-07-01;Global..Consumer.confidence.index;100.6
2006-08-01;Europe..Business.confidence.index;102.0
2006-08-01;Europe..Consumer.confidence.index;100.5
2006-08-01;Germany..Business.confidence.index;101.6
2006-08-01;Germany..Composite.leading.indicator;101.5
2006-08-01;Germany..Consumer.confidence.index;99.9
2006-08-01;Global..Business.confidence.index;100.9
2006-08-01;Global..Consumer.confidence.index;100.6
2006-09-01;Europe..Business.confidence.index;102.2
2006-09-01;Europe..Consumer.confidence.index;100.6
