DATE;MATERIAL;CUSTOMER;REGION;DEMAND
01.06.2011;C011414575;customer2;North America;234.0
01.07.2011;C011414575;customer2;North America;130.0
01.07.2011;C011414575;customer3;North America;26.0
01.08.2011;C011414575;customer4;Europe;44.0
01.08.2011;C011414575;customer2;North America;112.0
01.09.2011;C011414575;customer1;Europe;19.0
01.09.2011;C011414575;customer2;North America;126.0
01.09.2011;C011414575;customer3;North America;29.0
01.10.2011;C011414575;customer2;North America;234.0
01.11.2011;C011414575;customer2;North America;156.0
01.12.2011;C011414575;customer4;Europe;39.0
01.12.2011;C011414575;customer2;North America;117.0
01.01.2012;C011414575;customer2;North America;265.0
01.01.2012;C011414575;customer1;Europe;47.0
01.02.2012;C011414575;customer2;North America;156.0
01.03.2012;C011414575;customer2;North America;156.0
01.04.2012;C011414575;customer2;North America;167.0
01.04.2012;C011414575;customer4;Europe;55.0
01.05.2012;C011414575;customer2;North America;234.0
01.06.2012;C011414575;customer2;North America;312.0
01.07.2012;C011414575;customer2;North America;156.0
01.08.2012;C011414575;customer2;North America;66.0
01.08.2012;C011414575;customer3;North America;12.0
01.09.2012;C011414575;customer2;North America;234.0
01.10.2012;C011414575;customer2;North America;271.0
01.10.2012;C011414575;customer1;Europe;41.0
01.11.2012;C011414575;customer2;North America;78.0
01.12.2012;C011414575;customer2;North America;113.0
01.12.2012;C011414575;customer4;Europe;43.0
01.01.2013;C011414575;customer2;North America;169.0
01.01.2013;C011414575;customer4;Europe;65.0
01.02.2013;C011414575;customer2;North America;196.0
01.02.2013;C011414575;customer3;North America;38.0
01.03.2013;C011414575;customer2;North America;234.0
01.04.2013;C011414575;customer2;North America;234.0
01.05.2013;C011414575;customer2;North America;156.0
01.06.2013;C011414575;customer4;Europe;46.0
01.06.2013;C011414575;customer2;North America;110.0
01.07.2013;C011414575;customer4;Europe;80.0
01.07.2013;C011414575;customer2;North America;232.0
01.08.2013;C011414575;customer2;North America;156.0
01.09.2013;C011414575;customer2;North America;312.0
01.10.2013;C011414575;customer2;North America;107.0
01.10.2013;C011414575;customer4;Europe;37.0
01.10.2013;C011414575;customer1;Europe;12.0
01.11.2013;C011414575;customer2;North America;468.0
01.12.2013;C011414575;customer2;North America;72.0
01.12.2013;C011414575;customer1;Europe;6.0
01.01.2014;C011414575;customer2;North America;408.0
01.02.2014;C011414575;customer2;North America;144.0
01.03.2014;C011414575;customer4;Europe;58.0
01.03.2014;C011414575;customer2;North America;176.0
01.04.2014;C011414575;customer3;North America;34.0
01.04.2014;C011414575;customer2;North America;200.0
01.05.2014;C011414575;customer4;Europe;49.0
01.05.2014;C011414575;customer2;North America;107.0
01.06.2014;C011414575;customer2;North America;283.0
01.06.2014;C011414575;customer4;Europe;107.0
01.07.2014;C011414575;customer2;North America;234.0
01.08.2014;C011414575;customer2;North America;156.0
01.09.2014;C011414575;customer2;North America;246.0
01.09.2014;C011414575;customer3;North America;66.0
01.10.2014;C011414575;customer4;Europe;312.0
01.11.2014;C011414575;customer4;Europe;94.0
01.11.2014;C011414575;customer3;North America;62.0
01.12.2014;C011414575;customer2;North America;234.0
01.01.2015;C011414575;customer2;North America;234.0
01.02.2015;C011414575;customer2;North America;219.0
01.02.2015;C011414575;customer4;Europe;93.0
01.03.2015;C011414575;customer2;North America;312.0
01.04.2015;C011414575;customer2;North America;167.0
01.04.2015;C011414575;customer4;Europe;67.0
01.05.2015;C011414575;customer2;North America;155.0
01.05.2015;C011414575;customer4;Europe;54.0
01.05.2015;C011414575;customer3;North America;25.0
01.06.2015;C011414575;customer2;North America;306.0
01.07.2015;C011414575;customer4;Europe;234.0
01.08.2015;C011414575;customer2;North America;69.0
01.08.2015;C011414575;customer1;Europe;9.0
01.09.2015;C011414575;customer4;Europe;46.0
01.09.2015;C011414575;customer2;North America;110.0
01.10.2015;C011414575;customer2;North America;209.0
01.10.2015;C011414575;customer1;Europe;25.0
01.11.2015;C011414575;customer2;North America;209.0
01.11.2015;C011414575;customer1;Europe;25.0
01.12.2015;C011414575;customer2;North America;390.0
01.01.2016;C011414575;customer2;North America;163.0
01.01.2016;C011414575;customer4;Europe;52.0
01.01.2016;C011414575;customer1;Europe;19.0
01.02.2016;C011414575;customer2;North America;312.0
01.03.2016;C011414575;customer2;North America;284.0
01.03.2016;C011414575;customer4;Europe;106.0
01.04.2016;C011414575;customer2;North America;214.0
01.04.2016;C011414575;customer4;Europe;98.0
01.05.2016;C011414575;customer2;North America;248.0
01.05.2016;C011414575;customer3;North America;64.0
01.06.2016;C011414575;customer2;North America;214.0
01.06.2016;C011414575;customer4;Europe;78.0
01.06.2016;C011414575;customer1;Europe;20.0
01.07.2016;C011414575;customer3;North America;234.0
01.08.2016;C011414575;customer2;North America;175.0
01.08.2016;C011414575;customer4;Europe;59.0
01.09.2016;C011414575;customer2;North America;312.0
01.10.2016;C011414575;customer2;North America;152.0
01.10.2016;C011414575;customer4;Europe;55.0
01.10.2016;C011414575;customer1;Europe;27.0
01.11.2016;C011414575;customer2;North America;156.0
01.12.2016;C011414575;customer4;Europe;37.0
01.12.2016;C011414575;customer2;North America;119.0
01.01.2017;C011414575;customer2;North America;234.0
01.02.2017;C011414575;customer2;North America;241.0
01.02.2017;C011414575;customer4;Europe;71.0
01.03.2017;C011414575;customer2;North America;175.0
01.03.2017;C011414575;customer4;Europe;59.0
01.04.2017;C011414575;customer4;Europe;312.0
01.05.2017;C011414575;customer3;North America;312.0
01.06.2017;C011414575;customer2;North America;114.0
01.06.2017;C011414575;customer4;Europe;42.0
01.07.2017;C011414575;customer4;Europe;-12.0
01.08.2017;C011414575;customer3;North America;234.0
01.09.2017;C011414575;customer2;North America;156.0
01.10.2017;C011414575;customer2;North America;59.0
01.10.2017;C011414575;customer3;North America;19.0
01.11.2017;C011414575;customer1;Europe;234.0
01.12.2017;C011414575;customer2;North America;172.0
01.12.2017;C011414575;customer4;Europe;62.0
01.01.2018;C011414575;customer2;North America;234.0
01.02.2018;C011414575;customer2;North America;156.0
01.03.2018;C011414575;customer2;North America;178.0
01.03.2018;C011414575;customer4;Europe;56.0
01.04.2018;C011414575;customer4;Europe;71.0
01.04.2018;C011414575;customer2;North America;145.0
01.05.2018;C011414575;customer2;North America;312.0
01.06.2018;C011414575;customer4;Europe;234.0
01.07.2018;C011414575;customer2;North America;156.0
01.08.2018;C011414575;customer2;North America;174.0
01.08.2018;C011414575;customer4;Europe;60.0
01.09.2018;C011414575;customer2;North America;234.0
01.10.2018;C011414575;customer2;North America;176.0
01.10.2018;C011414575;customer4;Europe;58.0
01.11.2018;C011414575;customer3;North America;28.0
01.11.2018;C011414575;customer2;North America;104.0
01.11.2018;C011414575;customer4;Europe;24.0
01.12.2018;C011414575;customer2;North America;252.0
01.12.2018;C011414575;customer3;North America;60.0
01.01.2019;C011414575;customer2;North America;156.0
01.02.2019;C011414575;customer4;Europe;106.0
01.02.2019;C011414575;customer2;North America;284.0
01.03.2019;C011414575;customer2;North America;156.0
01.04.2019;C011414575;customer2;North America;234.0
01.05.2019;C011414575;customer4;Europe;234.0
01.06.2019;C011414575;customer3;North America;40.0
01.06.2019;C011414575;customer2;North America;194.0
01.07.2019;C011414575;customer2;North America;352.0
01.07.2019;C011414575;customer4;Europe;122.0
01.08.2019;C011414575;customer2;North America;234.0
01.09.2019;C011414575;customer2;North America;390.0
01.10.2019;C011414575;customer2;North America;237.0
01.10.2019;C011414575;customer4;Europe;75.0
01.11.2019;C011414575;customer2;North America;156.0
01.12.2019;C011414575;customer2;North America;312.0
01.01.2020;C011414575;customer4;Europe;80.0
01.01.2020;C011414575;customer2;North America;232.0
01.02.2020;C011414575;customer2;North America;256.0
01.02.2020;C011414575;customer3;North America;56.0
01.03.2020;C011414575;customer3;North America;-5.0
01.04.2020;C011414575;customer2;North America;312.0
01.05.2020;C011414575;customer2;North America;246.0
01.06.2020;C011414575;customer2;North America;171.0
01.06.2020;C011414575;customer4;Europe;63.0
01.07.2020;C011414575;customer2;North America;234.0
01.08.2020;C011414575;customer2;North America;234.0
01.09.2020;C011414575;customer2;North America;390.0
01.10.2020;C011414575;customer2;North America;234.0
01.11.2020;C011414575;customer2;North America;234.0
01.12.2020;C011414575;customer2;North America;244.0
01.12.2020;C011414575;customer3;North America;68.0
01.01.2021;C011414575;customer2;North America;234.0
01.02.2021;C011414575;customer2;North America;312.0
01.03.2021;C011414575;customer2;North America;119.0
01.03.2021;C011414575;customer4;Europe;37.0
01.04.2021;C011414575;customer2;North America;213.0
01.04.2021;C011414575;customer3;North America;54.0
01.04.2021;C011414575;customer4;Europe;69.0
01.05.2021;C011414575;customer2;North America;234.0
01.06.2021;C011414575;customer2;North America;312.0
01.07.2021;C011414575;customer2;North America;234.0
01.08.2021;C011414575;customer3;North America;312.0
01.09.2021;C011414575;customer2;North America;234.0
01.10.2021;C011414575;customer4;Europe;20.0
01.10.2021;C011414575;customer2;North America;58.0
01.11.2021;C011414575;customer2;North America;227.0
01.11.2021;C011414575;customer4;Europe;85.0
01.12.2021;C011414575;customer2;North America;312.0
01.01.2022;C011414575;customer2;North America;168.0
01.01.2022;C011414575;customer4;Europe;66.0
01.02.2022;C011414575;customer3;North America;234.0
01.03.2022;C011414575;customer2;North America;113.0
01.03.2022;C011414575;customer4;Europe;43.0
01.04.2022;C011414575;customer2;North America;57.0
01.04.2022;C011414575;customer4;Europe;21.0
01.05.2022;C011414575;customer2;North America;139.0
01.05.2022;C011414575;customer1;Europe;17.0
01.06.2022;C011414575;customer2;North America;234.0
01.07.2022;C011414575;customer4;Europe;390.0
01.08.2022;C011414575;customer3;North America;197.0
01.08.2022;C011414575;customer1;Europe;115.0
01.09.2022;C011414575;customer2;North America;390.0
01.10.2022;C011414575;customer2;North America;156.0
01.11.2022;C011414575;customer2;North America;312.0
01.12.2022;C011414575;customer2;North America;158.0
01.12.2022;C011414575;customer4;Europe;58.0
01.12.2022;C011414575;customer3;North America;42.0
01.01.2023;C011414575;customer2;North America;390.0
01.02.2023;C011414575;customer2;North America;299.0
01.02.2023;C011414575;customer3;North America;91.0
01.03.2023;C011414575;customer2;North America;234.0
01.04.2023;C011414575;customer2;North America;234.0
01.05.2023;C011414575;customer2;North America;226.0
01.05.2023;C011414575;customer4;Europe;86.0
01.06.2023;C011414575;customer2;North America;172.0
01.06.2023;C011414575;customer4;Europe;50.0
01.07.2023;C011414575;customer2;North America;59.0
01.07.2023;C011414575;customer3;North America;19.0
01.08.2023;C011414575;customer2;North America;312.0
01.09.2023;C011414575;customer2;North America;390.0
01.10.2023;C011414575;customer2;North America;78.0
01.11.2023;C011414575;customer2;North America;234.0
01.12.2023;C011414575;customer2;North America;156.0
01.01.2024;C011414575;customer2;North America;171.0
01.01.2024;C011414575;customer4;Europe;63.0
01.02.2024;C011414575;customer2;North America;114.0
01.02.2024;C011414575;customer4;Europe;42.0
01.03.2024;C011414575;customer2;North America;294.0
01.04.2024;C011414575;customer2;North America;234.0
01.05.2024;C011414575;customer2;North America;246.0
01.06.2024;C011414575;customer2;North America;106.0
01.06.2024;C011414575;customer4;Europe;50.0
01.10.2007;C024897037;customer2;North America;234.0
01.10.2007;C024897037;customer3;North America;50.0
01.10.2007;C024897037;customer4;Europe;94.0
01.11.2007;C024897037;customer2;North America;309.0
01.11.2007;C024897037;customer4;Europe;105.0
01.12.2007;C024897037;customer2;North America;196.0
01.12.2007;C024897037;customer4;Europe;68.0
01.01.2008;C024897037;customer2;North America;228.0
01.01.2008;C024897037;customer3;North America;66.0
01.02.2008;C024897037;customer2;North America;288.0
01.03.2008;C024897037;customer2;North America;248.0
01.03.2008;C024897037;customer4;Europe;94.0
01.04.2008;C024897037;customer2;North America;354.0
01.05.2008;C024897037;customer3;North America;318.0
01.06.2008;C024897037;customer2;North America;390.0
01.07.2008;C024897037;customer4;Europe;378.0
01.08.2008;C024897037;customer2;North America;306.0
01.09.2008;C024897037;customer1;Europe;48.0
01.09.2008;C024897037;customer2;North America;276.0
01.10.2008;C024897037;customer2;North America;272.0
01.10.2008;C024897037;customer1;Europe;32.0
01.10.2008;C024897037;customer3;North America;68.0
01.11.2008;C024897037;customer3;North America;61.0
01.11.2008;C024897037;customer2;North America;287.0
01.12.2008;C024897037;customer2;North America;200.0
01.12.2008;C024897037;customer4;Europe;76.0
01.01.2009;C024897037;customer4;Europe;172.0
01.01.2009;C024897037;customer3;North America;92.0
01.02.2009;C024897037;customer2;North America;366.0
01.03.2009;C024897037;customer1;Europe;276.0
01.04.2009;C024897037;customer2;North America;330.0
01.05.2009;C024897037;customer4;Europe;68.0
01.05.2009;C024897037;customer2;North America;179.0
01.05.2009;C024897037;customer1;Europe;23.0
01.06.2009;C024897037;customer2;North America;414.0
01.07.2009;C024897037;customer2;North America;216.0
01.07.2009;C024897037;customer4;Europe;90.0
01.08.2009;C024897037;customer2;North America;145.0
01.08.2009;C024897037;customer4;Europe;47.0
01.09.2009;C024897037;customer4;Europe;45.0
01.09.2009;C024897037;customer2;North America;125.0
01.09.2009;C024897037;customer3;North America;22.0
01.10.2009;C024897037;customer2;North America;300.0
01.11.2009;C024897037;customer2;North America;324.0
01.12.2009;C024897037;customer2;North America;182.0
01.12.2009;C024897037;customer4;Europe;64.0
01.01.2010;C024897037;customer2;North America;186.0
01.02.2010;C024897037;customer1;Europe;32.0
01.02.2010;C024897037;customer2;North America;172.0
01.03.2010;C024897037;customer4;Europe;36.0
01.03.2010;C024897037;customer2;North America;78.0
01.04.2010;C024897037;customer4;Europe;150.0
01.05.2010;C024897037;customer2;North America;126.0
01.05.2010;C024897037;customer1;Europe;18.0
01.06.2010;C024897037;customer2;North America;198.0
01.07.2010;C024897037;customer4;Europe;39.0
01.07.2010;C024897037;customer2;North America;81.0
01.07.2010;C024897037;customer3;North America;24.0
01.08.2010;C024897037;customer2;North America;42.0
01.08.2010;C024897037;customer4;Europe;17.0
01.08.2010;C024897037;customer3;North America;7.0
01.09.2010;C024897037;customer2;North America;102.0
01.10.2010;C024897037;customer2;North America;282.0
01.11.2010;C024897037;customer3;North America;228.0
01.12.2010;C024897037;customer2;North America;120.0
01.01.2011;C024897037;customer2;North America;175.0
01.01.2011;C024897037;customer3;North America;41.0
01.02.2011;C024897037;customer2;North America;228.0
01.03.2011;C024897037;customer4;Europe;150.0
01.04.2011;C024897037;customer2;North America;258.0
01.05.2011;C024897037;customer2;North America;264.0
01.06.2011;C024897037;customer1;Europe;46.0
01.06.2011;C024897037;customer2;North America;314.0
01.07.2011;C024897037;customer2;North America;270.0
01.08.2011;C024897037;customer2;North America;240.0
01.09.2011;C024897037;customer2;North America;288.0
01.10.2011;C024897037;customer2;North America;366.0
01.11.2011;C024897037;customer2;North America;342.0
01.12.2011;C024897037;customer2;North America;157.0
01.12.2011;C024897037;customer4;Europe;52.0
01.12.2011;C024897037;customer3;North America;43.0
01.01.2012;C024897037;customer4;Europe;312.0
01.02.2012;C024897037;customer2;North America;342.0
01.03.2012;C024897037;customer2;North America;318.0
01.04.2012;C024897037;customer2;North America;408.0
01.05.2012;C024897037;customer2;North America;288.0
01.06.2012;C024897037;customer2;North America;396.0
01.07.2012;C024897037;customer2;North America;250.0
01.07.2012;C024897037;customer3;North America;74.0
01.07.2012;C024897037;customer4;Europe;84.0
01.08.2012;C024897037;customer2;North America;158.0
01.08.2012;C024897037;customer4;Europe;59.0
01.08.2012;C024897037;customer1;Europe;16.0
01.08.2012;C024897037;customer3;North America;25.0
01.09.2012;C024897037;customer4;Europe;85.0
01.09.2012;C024897037;customer2;North America;203.0
01.10.2012;C024897037;customer2;North America;235.0
01.10.2012;C024897037;customer4;Europe;89.0
01.11.2012;C024897037;customer2;North America;360.0
01.12.2012;C024897037;customer2;North America;178.0
01.12.2012;C024897037;customer3;North America;56.0
01.01.2013;C024897037;customer4;Europe;282.0
01.02.2013;C024897037;customer2;North America;312.0
01.03.2013;C024897037;customer3;North America;44.0
01.03.2013;C024897037;customer2;North America;162.0
01.03.2013;C024897037;customer4;Europe;46.0
01.04.2013;C024897037;customer2;North America;312.0
01.05.2013;C024897037;customer2;North America;258.0
01.06.2013;C024897037;customer2;North America;295.0
01.06.2013;C024897037;customer3;North America;71.0
01.07.2013;C024897037;customer2;North America;330.0
01.08.2013;C024897037;customer2;North America;161.0
01.08.2013;C024897037;customer4;Europe;61.0
01.09.2013;C024897037;customer2;North America;175.0
01.09.2013;C024897037;customer4;Europe;71.0
01.10.2013;C024897037;customer2;North America;348.0
01.11.2013;C024897037;customer2;North America;300.0
01.11.2013;C024897037;customer1;Europe;42.0
01.12.2013;C024897037;customer2;North America;186.0
01.01.2014;C024897037;customer2;North America;156.0
01.01.2014;C024897037;customer3;North America;44.0
01.01.2014;C024897037;customer4;Europe;64.0
01.02.2014;C024897037;customer2;North America;248.0
01.02.2014;C024897037;customer3;North America;64.0
01.03.2014;C024897037;customer2;North America;165.0
01.03.2014;C024897037;customer4;Europe;51.0
01.04.2014;C024897037;customer3;North America;204.0
01.05.2014;C024897037;customer2;North America;173.0
01.05.2014;C024897037;customer4;Europe;70.0
01.05.2014;C024897037;customer1;Europe;27.0
01.06.2014;C024897037;customer4;Europe;342.0
01.07.2014;C024897037;customer2;North America;318.0
01.08.2014;C024897037;customer1;Europe;234.0
01.09.2014;C024897037;customer2;North America;97.0
01.09.2014;C024897037;customer3;North America;14.0
01.09.2014;C024897037;customer4;Europe;33.0
01.10.2014;C024897037;customer4;Europe;306.0
01.11.2014;C024897037;customer2;North America;306.0
01.12.2014;C024897037;customer2;North America;192.0
01.01.2015;C024897037;customer3;North America;264.0
01.02.2015;C024897037;customer2;North America;354.0
01.03.2015;C024897037;customer3;North America;306.0
01.04.2015;C024897037;customer2;North America;366.0
01.05.2015;C024897037;customer2;North America;216.0
01.06.2015;C024897037;customer2;North America;432.0
01.07.2015;C024897037;customer2;North America;290.0
01.07.2015;C024897037;customer3;North America;70.0
01.08.2015;C024897037;customer2;North America;294.0
01.09.2015;C024897037;customer2;North America;294.0
01.10.2015;C024897037;customer2;North America;348.0
01.11.2015;C024897037;customer3;North America;67.0
01.11.2015;C024897037;customer2;North America;269.0
01.12.2015;C024897037;customer2;North America;246.0
01.01.2016;C024897037;customer2;North America;263.0
01.01.2016;C024897037;customer1;Europe;37.0
01.02.2016;C024897037;customer2;North America;360.0
01.03.2016;C024897037;customer2;North America;234.0
01.04.2016;C024897037;customer2;North America;396.0
01.05.2016;C024897037;customer2;North America;312.0
01.06.2016;C024897037;customer2;North America;218.0
01.06.2016;C024897037;customer4;Europe;93.0
01.06.2016;C024897037;customer3;North America;49.0
01.07.2016;C024897037;customer4;Europe;348.0
01.08.2016;C024897037;customer2;North America;173.0
01.08.2016;C024897037;customer4;Europe;73.0
01.09.2016;C024897037;customer2;North America;276.0
01.10.2016;C024897037;customer2;North America;286.0
01.10.2016;C024897037;customer4;Europe;80.0
01.11.2016;C024897037;customer2;North America;318.0
01.12.2016;C024897037;customer2;North America;204.0
01.01.2017;C024897037;customer4;Europe;252.0
01.02.2017;C024897037;customer2;North America;207.0
01.02.2017;C024897037;customer4;Europe;69.0
01.03.2017;C024897037;customer2;North America;222.0
01.04.2017;C024897037;customer2;North America;294.0
01.05.2017;C024897037;customer2;North America;276.0
01.06.2017;C024897037;customer2;North America;342.0
01.07.2017;C024897037;customer3;North America;45.0
01.07.2017;C024897037;customer2;North America;231.0
01.07.2017;C024897037;customer4;Europe;90.0
01.08.2017;C024897037;customer2;North America;270.0
01.09.2017;C024897037;customer4;Europe;80.0
01.09.2017;C024897037;customer2;North America;172.0
01.10.2017;C024897037;customer3;North America;38.0
01.10.2017;C024897037;customer4;Europe;71.0
01.10.2017;C024897037;customer2;North America;191.0
01.11.2017;C024897037;customer2;North America;336.0
01.12.2017;C024897037;customer2;North America;129.0
01.12.2017;C024897037;customer4;Europe;49.0
01.12.2017;C024897037;customer3;North America;26.0
01.01.2018;C024897037;customer2;North America;180.0
01.02.2018;C024897037;customer2;North America;336.0
01.03.2018;C024897037;customer2;North America;270.0
01.04.2018;C024897037;customer2;North America;360.0
01.05.2018;C024897037;customer4;Europe;72.0
01.05.2018;C024897037;customer2;North America;246.0
01.06.2018;C024897037;customer3;North America;390.0
01.07.2018;C024897037;customer2;North America;348.0
01.08.2018;C024897037;customer2;North America;267.0
01.08.2018;C024897037;customer1;Europe;39.0
01.09.2018;C024897037;customer4;Europe;300.0
01.10.2018;C024897037;customer2;North America;276.0
01.10.2018;C024897037;customer3;North America;72.0
01.11.2018;C024897037;customer2;North America;222.0
01.11.2018;C024897037;customer4;Europe;72.0
01.12.2018;C024897037;customer2;North America;246.0
01.01.2019;C024897037;customer4;Europe;81.0
01.01.2019;C024897037;customer2;North America;189.0
01.02.2019;C024897037;customer2;North America;210.0
01.02.2019;C024897037;customer3;North America;55.0
01.02.2019;C024897037;customer4;Europe;77.0
01.03.2019;C024897037;customer2;North America;240.0
01.03.2019;C024897037;customer4;Europe;84.0
01.04.2019;C024897037;customer3;North America;86.0
01.04.2019;C024897037;customer2;North America;304.0
01.05.2019;C024897037;customer2;North America;348.0
01.06.2019;C024897037;customer2;North America;378.0
01.07.2019;C024897037;customer4;Europe;432.0
01.08.2019;C024897037;customer2;North America;226.0
01.08.2019;C024897037;customer4;Europe;80.0
01.09.2019;C024897037;customer4;Europe;324.0
01.10.2019;C024897037;customer2;North America;219.0
01.10.2019;C024897037;customer3;North America;69.0
01.10.2019;C024897037;customer4;Europe;72.0
01.11.2019;C024897037;customer2;North America;342.0
01.12.2019;C024897037;customer2;North America;270.0
01.01.2020;C024897037;customer2;North America;199.0
01.01.2020;C024897037;customer3;North America;51.0
01.01.2020;C024897037;customer1;Europe;20.0
01.02.2020;C024897037;customer2;North America;284.0
01.02.2020;C024897037;customer3;North America;76.0
01.03.2020;C024897037;customer2;North America;336.0
01.04.2020;C024897037;customer4;Europe;117.0
01.04.2020;C024897037;customer2;North America;273.0
01.05.2020;C024897037;customer2;North America;282.0
01.06.2020;C024897037;customer4;Europe;85.0
01.06.2020;C024897037;customer3;North America;72.0
01.06.2020;C024897037;customer2;North America;251.0
01.07.2020;C024897037;customer2;North America;300.0
01.08.2020;C024897037;customer2;North America;253.0
01.08.2020;C024897037;customer1;Europe;29.0
01.09.2020;C024897037;customer4;Europe;264.0
01.10.2020;C024897037;customer2;North America;246.0
01.10.2020;C024897037;customer4;Europe;84.0
01.11.2020;C024897037;customer3;North America;59.0
01.11.2020;C024897037;customer4;Europe;74.0
01.11.2020;C024897037;customer2;North America;203.0
01.12.2020;C024897037;customer2;North America;204.0
01.01.2021;C024897037;customer2;North America;100.0
01.01.2021;C024897037;customer3;North America;29.0
01.01.2021;C024897037;customer1;Europe;20.0
01.01.2021;C024897037;customer4;Europe;43.0
01.02.2021;C024897037;customer2;North America;264.0
01.03.2021;C024897037;customer2;North America;153.0
01.03.2021;C024897037;customer3;North America;36.0
01.03.2021;C024897037;customer4;Europe;51.0
01.04.2021;C024897037;customer2;North America;318.0
01.05.2021;C024897037;customer4;Europe;258.0
01.06.2021;C024897037;customer2;North America;372.0
01.07.2021;C024897037;customer3;North America;312.0
01.08.2021;C024897037;customer3;North America;42.0
01.08.2021;C024897037;customer2;North America;132.0
01.09.2021;C024897037;customer2;North America;144.0
01.10.2021;C024897037;customer3;North America;55.0
01.10.2021;C024897037;customer4;Europe;84.0
01.10.2021;C024897037;customer2;North America;185.0
01.11.2021;C024897037;customer2;North America;270.0
01.12.2021;C024897037;customer1;Europe;216.0
01.01.2022;C024897037;customer2;North America;258.0
01.02.2022;C024897037;customer2;North America;300.0
01.03.2022;C024897037;customer2;North America;206.0
01.03.2022;C024897037;customer3;North America;46.0
01.04.2022;C024897037;customer3;North America;366.0
01.05.2022;C024897037;customer2;North America;282.0
01.06.2022;C024897037;customer2;North America;348.0
01.07.2022;C024897037;customer2;North America;432.0
01.08.2022;C024897037;customer2;North America;318.0
01.09.2022;C024897037;customer3;North America;65.0
01.09.2022;C024897037;customer2;North America;223.0
01.10.2022;C024897037;customer2;North America;414.0
01.11.2022;C024897037;customer4;Europe;97.0
01.11.2022;C024897037;customer2;North America;269.0
01.12.2022;C024897037;customer2;North America;246.0
01.01.2023;C024897037;customer2;North America;318.0
01.02.2023;C024897037;customer2;North America;420.0
01.03.2023;C024897037;customer2;North America;312.0
01.04.2023;C024897037;customer2;North America;456.0
01.05.2023;C024897037;customer2;North America;318.0
01.06.2023;C024897037;customer3;North America;280.0
01.06.2023;C024897037;customer1;Europe;158.0
