date,value
2021-12-14,652
2021-12-15,672
2021-12-16,660
2021-12-17,617
2021-12-18,315
2021-12-19,243
2021-12-20,599
2021-12-21,524
2021-12-22,463
2021-12-23,325
2021-12-24,113
2021-12-25,59
2021-12-26,72
2021-12-27,210
2021-12-28,175
2021-12-29,224
2021-12-30,263
2021-12-31,271
2022-01-01,169
2022-01-02,210
2022-01-03,257
2022-01-04,207
2022-01-05,327
2022-01-06,218
2022-01-07,306
2022-01-08,236
2022-01-09,181
2022-01-10,580
2022-01-11,646
2022-01-12,658
2022-01-13,656
2022-01-14,593
2022-01-15,285
2022-01-16,237
2022-01-17,630
2022-01-18,662
2022-01-19,667
2022-01-20,616
2022-01-21,505
2022-01-22,312
2022-01-23,260
2022-01-24,614
2022-01-25,679
2022-01-26,610
2022-01-27,591
2022-01-28,557
2022-01-29,283
2022-01-30,265
2022-01-31,445
2022-02-01,550
2022-02-02,601
2022-02-03,634
2022-02-04,526
2022-02-05,321
2022-02-06,118
2022-02-07,617
2022-02-08,647
2022-02-09,756
2022-02-10,643
2022-02-11,543
2022-02-12,339
2022-02-13,324
2022-02-14,665
2022-02-15,652
2022-02-16,519
2022-02-17,479
2022-02-18,491
2022-02-19,338
2022-02-20,187
2022-02-21,461
2022-02-22,583
2022-02-23,691
2022-02-24,601
2022-02-25,510
2022-02-26,346
2022-02-27,284
2022-02-28,508
2022-03-01,493
2022-03-02,534
2022-03-03,559
2022-03-04,516
2022-03-05,355
2022-03-06,278
2022-03-07,648
2022-03-08,713
2022-03-09,710
2022-03-10,714
2022-03-11,687
2022-03-12,438
2022-03-13,446
2022-03-14,597
2022-03-15,594
2022-03-16,752
2022-03-17,714
2022-03-18,736
2022-03-19,370
2022-03-20,425
2022-03-21,857
2022-03-22,904
2022-03-23,871
2022-03-24,940
2022-03-25,867
2022-03-26,675
2022-03-27,643
2022-03-28,974
2022-03-29,892
2022-03-30,581
2022-03-31,727
2022-04-01,295
2022-04-02,202
2022-04-03,290
2022-04-04,670
2022-04-05,574
2022-04-06,854
2022-04-07,594
2022-04-08,471
2022-04-09,249
2022-04-10,351
2022-04-11,771
2022-04-12,881
2022-04-13,881
2022-04-14,720
2022-04-15,449
2022-04-16,393
2022-04-17,325
2022-04-18,492
2022-04-19,761
2022-04-20,883
2022-04-21,848
2022-04-22,846
2022-04-23,500
2022-04-24,267
2022-04-25,864
2022-04-26,633
2022-04-27,1164
2022-04-28,1243
2022-04-29,1150
2022-04-30,449
2022-05-01,581
2022-05-02,1275
2022-05-03,1271
2022-05-04,1063
2022-05-05,1110
2022-05-06,1165
2022-05-07,812
2022-05-08,641
2022-05-09,1367
2022-05-10,1498
2022-05-11,1544
2022-05-12,1455
2022-05-13,1309
2022-05-14,849
2022-05-15,950
2022-05-16,1061
2022-05-17,1387
2022-05-18,1554
2022-05-19,1364
2022-05-20,1078
2022-05-21,725
2022-05-22,814
2022-05-23,1120
2022-05-24,1356
2022-05-25,1425
2022-05-26,852
2022-05-27,1005
2022-05-28,878
2022-05-29,822
2022-05-30,1254
2022-05-31,1371
2022-06-01,1487
2022-06-02,1369
2022-06-03,1017
2022-06-04,734
2022-06-05,367
2022-06-06,576
2022-06-07,964
2022-06-08,1068
2022-06-09,1079
2022-06-10,1132
2022-06-11,741
2022-06-12,727
2022-06-13,1140
2022-06-14,1358
2022-06-15,1330
2022-06-16,1256
2022-06-17,1290
2022-06-18,1091
2022-06-19,953
2022-06-20,1285
2022-06-21,1392
2022-06-22,1446
2022-06-23,1400
2022-06-24,1038
2022-06-25,755
2022-06-26,754
2022-06-27,1201
2022-06-28,1436
2022-06-29,1253
2022-06-30,1394
2022-07-01,850
2022-07-02,848
2022-07-03,849
2022-07-04,1508
2022-07-05,1469
2022-07-06,1533
2022-07-07,1123
2022-07-08,1275
2022-07-09,801
2022-07-10,696
2022-07-11,1277
2022-07-12,1435
2022-07-13,1429
2022-07-14,1383
2022-07-15,1337
2022-07-16,806
2022-07-17,888
2022-07-18,1286
2022-07-19,1230
2022-07-20,1224
2022-07-21,1190
2022-07-22,1220
2022-07-23,749
2022-07-24,717
2022-07-25,1265
2022-07-26,1370
2022-07-27,1332
2022-07-28,1352
2022-07-29,999
2022-07-30,805
2022-07-31,675
2022-08-01,1154
2022-08-02,1201
2022-08-03,1239
2022-08-04,1156
2022-08-05,968
2022-08-06,735
2022-08-07,730
2022-08-08,1029
2022-08-09,1127
2022-08-10,1134
2022-08-11,1058
2022-08-12,898
2022-08-13,600
2022-08-14,523
2022-08-15,578
2022-08-16,913
2022-08-17,797
2022-08-18,739
2022-08-19,653
2022-08-20,412
2022-08-21,565
2022-08-22,916
2022-08-23,957
2022-08-24,1019
2022-08-25,1001
2022-08-26,737
2022-08-27,436
2022-08-28,541
2022-08-29,1044
2022-08-30,1102
2022-08-31,972
2022-09-01,1019
2022-09-02,930
2022-09-03,586
2022-09-04,627
2022-09-05,1068
2022-09-06,1138
2022-09-07,1158
2022-09-08,805
2022-09-09,817
2022-09-10,369
2022-09-11,548
2022-09-12,1092
2022-09-13,1013
2022-09-14,555
2022-09-15,695
2022-09-16,890
2022-09-17,386
2022-09-18,267
2022-09-19,788
2022-09-20,883
2022-09-21,900
2022-09-22,992
2022-09-23,911
2022-09-24,526
2022-09-25,240
2022-09-26,829
2022-09-27,659
2022-09-28,715
2022-09-29,823
2022-09-30,782
2022-10-01,250
2022-10-02,206
2022-10-03,425
2022-10-04,964
2022-10-05,986
2022-10-06,941
2022-10-07,824
2022-10-08,497
2022-10-09,476
2022-10-10,969
2022-10-11,979
2022-10-12,982
2022-10-13,922
2022-10-14,817
2022-10-15,420
2022-10-16,399
2022-10-17,1176
2022-10-18,1084
2022-10-19,1090
2022-10-20,1019
2022-10-21,700
2022-10-22,532
2022-10-23,471
2022-10-24,874
2022-10-25,1117
2022-10-26,1083
2022-10-27,1152
2022-10-28,973
2022-10-29,542
2022-10-30,548
2022-10-31,725
2022-11-01,708
2022-11-02,1051
2022-11-03,912
2022-11-04,784
2022-11-05,433
2022-11-06,411
2022-11-07,1028
2022-11-08,1084
2022-11-09,857
2022-11-10,1122
2022-11-11,885
2022-11-12,466
2022-11-13,433
2022-11-14,957
2022-11-15,1064
2022-11-16,810
2022-11-17,759
2022-11-18,604
2022-11-19,239
2022-11-20,197
2022-11-21,811
2022-11-22,934
2022-11-23,941
2022-11-24,822
2022-11-25,673
2022-11-26,368
2022-11-27,290
2022-11-28,807
2022-11-29,823
2022-11-30,807
2022-12-01,885
2022-12-02,624
2022-12-03,315
2022-12-04,288
2022-12-05,782
2022-12-06,781
2022-12-07,798
2022-12-08,752
2022-12-09,628
2022-12-10,310
2022-12-11,216
2022-12-12,577
2022-12-13,614
2022-12-14,450
2022-12-15,479
2022-12-16,446
2022-12-17,225
2022-12-18,173
2022-12-19,450
2022-12-20,399
2022-12-21,550
2022-12-22,445
2022-12-23,274
2022-12-24,109
2022-12-25,88
2022-12-26,91
2022-12-27,269
2022-12-28,294
2022-12-29,280
2022-12-30,291
2022-12-31,226
2023-01-01,197
2023-01-02,424
2023-01-03,498
2023-01-04,345
2023-01-05,408
2023-01-06,220
2023-01-07,290
2023-01-08,289
2023-01-09,686
2023-01-10,768
2023-01-11,688
2023-01-12,697
2023-01-13,619
2023-01-14,291
2023-01-15,205
2023-01-16,744
2023-01-17,747
2023-01-18,405
2023-01-19,490
2023-01-20,417
2023-01-21,232
2023-01-22,214
2023-01-23,576
2023-01-24,669
2023-01-25,680
2023-01-26,673
2023-01-27,584
2023-01-28,303
2023-01-29,276
2023-01-30,589
2023-01-31,693
2023-02-01,646
2023-02-02,573
2023-02-03,525
2023-02-04,328
2023-02-05,169
2023-02-06,551
2023-02-07,600
2023-02-08,618
2023-02-09,600
2023-02-10,512
2023-02-11,341
2023-02-12,273
2023-02-13,638
2023-02-14,737
2023-02-15,641
2023-02-16,638
2023-02-17,567
2023-02-18,265
2023-02-19,345
2023-02-20,559
2023-02-21,572
2023-02-22,625
2023-02-23,510
2023-02-24,503
2023-02-25,255
2023-02-26,253
2023-02-27,560
2023-02-28,617
2023-03-01,636
2023-03-02,650
2023-03-03,681
2023-03-04,270
2023-03-05,277
2023-03-06,587
2023-03-07,606
2023-03-08,477
2023-03-09,525
2023-03-10,466
2023-03-11,294
2023-03-12,219
2023-03-13,642
2023-03-14,529
2023-03-15,625
2023-03-16,674
2023-03-17,740
2023-03-18,586
2023-03-19,363
2023-03-20,779
2023-03-21,781
2023-03-22,1035
2023-03-23,751
2023-03-24,626
2023-03-25,337
2023-03-26,250
2023-03-27,805
2023-03-28,783
2023-03-29,884
2023-03-30,652
2023-03-31,497
2023-04-01,268
2023-04-02,262
2023-04-03,656
2023-04-04,721
2023-04-05,741
2023-04-06,659
2023-04-07,270
2023-04-08,297
2023-04-09,273
2023-04-10,457
2023-04-11,589
2023-04-12,525
2023-04-13,676
2023-04-14,732
2023-04-15,364
2023-04-16,279
2023-04-17,965
2023-04-18,947
2023-04-19,1121
2023-04-20,964
2023-04-21,1045
2023-04-22,813
2023-04-23,809
2023-04-24,909
2023-04-25,995
2023-04-26,1102
2023-04-27,1132
2023-04-28,612
2023-04-29,500
2023-04-30,771
2023-05-01,541
2023-05-02,1135
2023-05-03,1309
2023-05-04,1351
2023-05-05,1059
2023-05-06,855
2023-05-07,706
2023-05-08,1038
2023-05-09,1287
2023-05-10,1096
2023-05-11,833
2023-05-12,834
2023-05-13,701
2023-05-14,588
2023-05-15,1249
2023-05-16,1078
2023-05-17,1213
2023-05-18,812
2023-05-19,915
2023-05-20,745
2023-05-21,917
2023-05-22,1455
2023-05-23,1369
2023-05-24,1374
2023-05-25,1479
2023-05-26,1278
2023-05-27,794
2023-05-28,863
2023-05-29,855
2023-05-30,1195
2023-05-31,1409
2023-06-01,1436
2023-06-02,1157
2023-06-03,740
2023-06-04,823
2023-06-05,1328
2023-06-06,1367
2023-06-07,1400
2023-06-08,934
2023-06-09,1460
2023-06-10,1306
2023-06-11,1330
2023-06-12,1544
2023-06-13,1582
2023-06-14,1574
2023-06-15,1461
2023-06-16,1302
2023-06-17,913
2023-06-18,833
2023-06-19,1484
2023-06-20,1458
2023-06-21,1457
2023-06-22,1319
2023-06-23,1050
2023-06-24,906
2023-06-25,835
2023-06-26,1504
2023-06-27,1516
2023-06-28,1510
2023-06-29,1477
2023-06-30,1189
2023-07-01,728
2023-07-02,808
2023-07-03,1473
2023-07-04,1612
2023-07-05,1468
2023-07-06,1539
2023-07-07,1340
2023-07-08,852
2023-07-09,765
2023-07-10,1418
2023-07-11,1432
2023-07-12,1543
2023-07-13,1575
2023-07-14,1349
2023-07-15,673
2023-07-16,961
2023-07-17,1409
2023-07-18,1495
2023-07-19,1334
2023-07-20,1489
2023-07-21,1193
2023-07-22,894
2023-07-23,682
2023-07-24,1190
2023-07-25,1011
2023-07-26,1088
2023-07-27,919
2023-07-28,910
2023-07-29,498
2023-07-30,542
2023-07-31,1046
2023-08-01,703
2023-08-02,664
2023-08-03,880
2023-08-04,803
2023-08-05,692
2023-08-06,316
2023-08-07,624
2023-08-08,888
2023-08-09,728
2023-08-10,1019
2023-08-11,928
2023-08-12,573
2023-08-13,564
2023-08-14,805
2023-08-15,630
2023-08-16,886
2023-08-17,902
2023-08-18,892
2023-08-19,576
2023-08-20,544
2023-08-21,912
2023-08-22,970
2023-08-23,981
2023-08-24,909
2023-08-25,639
2023-08-26,499
2023-08-27,387
2023-08-28,533
2023-08-29,335
2023-08-30,567
2023-08-31,668
2023-09-01,356
2023-09-02,351
2023-09-03,434
2023-09-04,608
2023-09-05,635
2023-09-06,691
2023-09-07,650
2023-09-08,599
2023-09-09,459
2023-09-10,482
2023-09-11,735
2023-09-12,678
2023-09-13,631
2023-09-14,644
2023-09-15,599
2023-09-16,455
2023-09-17,497
2023-09-18,532
2023-09-19,622
2023-09-20,854
2023-09-21,903
2023-09-22,728
2023-09-23,552
2023-09-24,533
2023-09-25,929
2023-09-26,1030
2023-09-27,1036
2023-09-28,1051
2023-09-29,930
2023-09-30,600
2023-10-01,631
2023-10-02,940
2023-10-03,506
2023-10-04,1050
2023-10-05,932
2023-10-06,942
2023-10-07,500
2023-10-08,453
2023-10-09,885
2023-10-10,1111
2023-10-11,1148
2023-10-12,869
2023-10-13,1009
2023-10-14,563
2023-10-15,426
2023-10-16,952
2023-10-17,1061
2023-10-18,1121
2023-10-19,877
2023-10-20,707
2023-10-21,498
2023-10-22,443
2023-10-23,1011
2023-10-24,725
2023-10-25,780
2023-10-26,873
2023-10-27,701
2023-10-28,310
2023-10-29,275
2023-10-30,747
2023-10-31,817
2023-11-01,415
2023-11-02,594
2023-11-03,645
2023-11-04,376
2023-11-05,244
2023-11-06,928
2023-11-07,932
2023-11-08,956
2023-11-09,890
2023-11-10,766
2023-11-11,315
2023-11-12,293
2023-11-13,521
2023-11-14,861
2023-11-15,866
2023-11-16,775
2023-11-17,768
2023-11-18,374
2023-11-19,288
2023-11-20,790
2023-11-21,896
2023-11-22,730
2023-11-23,834
2023-11-24,641
2023-11-25,259
2023-11-26,268
2023-11-27,619
2023-11-28,521
2023-11-29,588
2023-11-30,681
2023-12-01,525
2023-12-02,259
2023-12-03,220
2023-12-04,513
2023-12-05,498
2023-12-06,612
2023-12-07,640
2023-12-08,417
2023-12-09,243
2023-12-10,268
2023-12-11,693
2023-12-12,748
2023-12-13,707
2023-12-14,695
2023-12-15,674
2023-12-16,327
2023-12-17,339
2023-12-18,646
2023-12-19,680
2023-12-20,660
2023-12-21,505
2023-12-22,323
2023-12-23,156
2023-12-24,76
2023-12-25,86
2023-12-26,143
2023-12-27,302
2023-12-28,287
2023-12-29,286
2023-12-30,202
2023-12-31,179
2024-01-01,138
2024-01-02,237
2024-01-03,292
2024-01-04,288
2024-01-05,391
2024-01-06,256
2024-01-07,229
2024-01-08,660
2024-01-09,587
2024-01-10,576
2024-01-11,621
2024-01-12,509
2024-01-13,229
2024-01-14,219
2024-01-15,488
2024-01-16,561
2024-01-17,301
2024-01-18,274
2024-01-19,321
2024-01-20,177
2024-01-21,147
2024-01-22,436
2024-01-23,605
2024-01-24,595
2024-01-25,690
2024-01-26,560
2024-01-27,358
2024-01-28,249
2024-01-29,617
2024-01-30,679
2024-01-31,734
2024-02-01,591
2024-02-02,618
2024-02-03,442
2024-02-04,216
2024-02-05,698
2024-02-06,749
2024-02-07,493
2024-02-08,472
2024-02-09,500
2024-02-10,302
2024-02-11,244
2024-02-12,447
2024-02-13,544
2024-02-14,562
2024-02-15,606
2024-02-16,624
2024-02-17,322
2024-02-18,330
2024-02-19,587
2024-02-20,755
2024-02-21,750
2024-02-22,496
2024-02-23,627
2024-02-24,361
2024-02-25,296
2024-02-26,683
2024-02-27,751
2024-02-28,787
2024-02-29,801
2024-03-01,633
2024-03-02,449
2024-03-03,541
2024-03-04,724
2024-03-05,673
2024-03-06,709
2024-03-07,694
2024-03-08,670
2024-03-09,423
2024-03-10,409
2024-03-11,765
2024-03-12,710
2024-03-13,792
2024-03-14,848
2024-03-15,738
2024-03-16,373
2024-03-17,505
2024-03-18,696
2024-03-19,888
2024-03-20,946
2024-03-21,924
2024-03-22,810
2024-03-23,366
2024-03-24,208
2024-03-25,703
2024-03-26,742
2024-03-27,689
2024-03-28,577
2024-03-29,194
2024-03-30,371
2024-03-31,269
2024-04-01,165
2024-04-02,523
2024-04-03,541
2024-04-04,529
2024-04-05,741
2024-04-06,819
2024-04-07,669
2024-04-08,1009
2024-04-09,879
2024-04-10,930
2024-04-11,880
2024-04-12,965
2024-04-13,771
2024-04-14,754
2024-04-15,828
2024-04-16,716
2024-04-17,889
2024-04-18,793
2024-04-19,495
2024-04-20,382
2024-04-21,174
2024-04-22,853
2024-04-23,969
2024-04-24,798
2024-04-25,758
2024-04-26,805
2024-04-27,743
2024-04-28,675
2024-04-29,1086
2024-04-30,1243
2024-05-01,967
2024-05-02,982
2024-05-03,844
2024-05-04,636
2024-05-05,390
2024-05-06,767
2024-05-07,954
2024-05-08,1031
2024-05-09,758
2024-05-10,904
2024-05-11,734
2024-05-12,803
2024-05-13,1223
2024-05-14,1377
2024-05-15,1285
2024-05-16,994
2024-05-17,585
2024-05-18,440
2024-05-19,419
2024-05-20,712
2024-05-21,654
2024-05-22,894
2024-05-23,1028
2024-05-24,624
2024-05-25,613
2024-05-26,918
2024-05-27,831
2024-05-28,1041
2024-05-29,824
2024-05-30,439
2024-05-31,509
2024-06-01,260
2024-06-02,385
2024-06-03,1175
2024-06-04,1317
2024-06-05,1160
2024-06-06,1162
2024-06-07,1025
2024-06-08,809
2024-06-09,787
2024-06-10,1128
2024-06-11,1174
2024-06-12,1241
2024-06-13,1179
2024-06-14,1013
2024-06-15,545
2024-06-16,653
2024-06-17,981
2024-06-18,1353
2024-06-19,1108
2024-06-20,1482
2024-06-21,1080
2024-06-22,1089
2024-06-23,1237
2024-06-24,1236
2024-06-25,1373
2024-06-26,1299
2024-06-27,1198
2024-06-28,1041
2024-06-29,776
2024-06-30,303
2024-07-01,947
2024-07-02,1105
2024-07-03,970
2024-07-04,878
2024-07-05,1241
2024-07-06,508
2024-07-07,737
2024-07-08,1397
2024-07-09,1467
2024-07-10,1151
2024-07-11,1252
2024-07-12,985
2024-07-13,740
2024-07-14,869
2024-07-15,1419
2024-07-16,1386
2024-07-17,1510
2024-07-18,1474
2024-07-19,1403
2024-07-20,752
2024-07-21,874
2024-07-22,1181
2024-07-23,1209
2024-07-24,1310
2024-07-25,1331
2024-07-26,1011
2024-07-27,454
2024-07-28,784
2024-07-29,1228
2024-07-30,1384
2024-07-31,1328
2024-08-01,934
2024-08-02,980
2024-08-03,475
2024-08-04,643
2024-08-05,1053
2024-08-06,1174
2024-08-07,832
2024-08-08,970
2024-08-09,919
2024-08-10,712
2024-08-11,633
2024-08-12,996
2024-08-13,943
2024-08-14,944
2024-08-15,682
2024-08-16,776
2024-08-17,632
2024-08-18,319
2024-08-19,875
2024-08-20,966
2024-08-21,947
2024-08-22,1003
2024-08-23,901
2024-08-24,692
2024-08-25,515
2024-08-26,968
2024-08-27,1040
2024-08-28,1005
2024-08-29,1055
2024-08-30,920
2024-08-31,676
2024-09-01,620
2024-09-02,1073
2024-09-03,1133
2024-09-04,930
2024-09-05,1069
2024-09-06,886
2024-09-07,732
2024-09-08,520
2024-09-09,829
2024-09-10,901
2024-09-11,732
2024-09-12,838
2024-09-13,800
2024-09-14,468
2024-09-15,425
2024-09-16,672
2024-09-17,928
2024-09-18,1106
2024-09-19,1090
2024-09-20,1076
2024-09-21,686
2024-09-22,537
2024-09-23,875
2024-09-24,882
2024-09-25,950
2024-09-26,549
2024-09-27,793
2024-09-28,481
2024-09-29,476
2024-09-30,735
2024-10-01,792
2024-10-02,636
2024-10-03,375
2024-10-04,620
2024-10-05,461
2024-10-06,352
2024-10-07,740
2024-10-08,671
2024-10-09,846
2024-10-10,644
2024-10-11,714
2024-10-12,522
2024-10-13,383
2024-10-14,906
2024-10-15,1000
2024-10-16,1098
2024-10-17,1062
2024-10-18,939
2024-10-19,468
2024-10-20,416
2024-10-21,1075
2024-10-22,1094
2024-10-23,1033
2024-10-24,1023
2024-10-25,915
2024-10-26,495
2024-10-27,397
2024-10-28,926
2024-10-29,992
2024-10-30,834
2024-10-31,783
2024-11-01,317
2024-11-02,379
2024-11-03,386
2024-11-04,876
2024-11-05,843
2024-11-06,803
2024-11-07,894
2024-11-08,700
2024-11-09,447
2024-11-10,265
2024-11-11,701
2024-11-12,799
2024-11-13,767
2024-11-14,765
2024-11-15,685
2024-11-16,376
2024-11-17,225
2024-11-18,630
2024-11-19,585
2024-11-20,579
2024-11-21,672
2024-11-22,549
2024-11-23,299
2024-11-24,370
2024-11-25,864
2024-11-26,818
2024-11-27,812
2024-11-28,853
2024-11-29,713
2024-11-30,366
2024-12-01,250
2024-12-02,682
2024-12-03,767
2024-12-04,711
2024-12-05,731
2024-12-06,539
2024-12-07,193
2024-12-08,334
2024-12-09,694
2024-12-10,677
2024-12-11,748
2024-12-12,653
2024-12-13,592
2024-12-14,291
2024-12-15,235
2024-12-16,696
2024-12-17,738
2024-12-18,757
2024-12-19,629
2024-12-20,573
2024-12-21,269
2024-12-22,173
2024-12-23,283
2024-12-24,111
2024-12-25,100
2024-12-26,89
2024-12-27,209
2024-12-28,140
2024-12-29,120
2024-12-30,248
2024-12-31,156
2025-01-01,154
2025-01-02,171
2025-01-03,297
2025-01-04,187
2025-01-05,96
2025-01-06,242
2025-01-07,700
2025-01-08,610
2025-01-09,580
2025-01-10,565
2025-01-11,323
2025-01-12,244
2025-01-13,635
2025-01-14,606
2025-01-15,601
2025-01-16,697
2025-01-17,613
2025-01-18,311
2025-01-19,262
2025-01-20,651
2025-01-21,598
2025-01-22,584
2025-01-23,609
2025-01-24,609
2025-01-25,332
2025-01-26,290
2025-01-27,628
2025-01-28,691
2025-01-29,622
2025-01-30,697
2025-01-31,601
2025-02-01,418
2025-02-02,259
2025-02-03,581
2025-02-04,627
2025-02-05,580
2025-02-06,595
2025-02-07,571
2025-02-08,328
2025-02-09,240
2025-02-10,613
2025-02-11,586
2025-02-12,565
2025-02-13,540
2025-02-14,488
2025-02-15,240
2025-02-16,211
2025-02-17,525
2025-02-18,526
