index,date,value,name
0,2010-01-01,5.7,Temperatur (täglicher Maximalwert; Würzburg)
53,2010-02-23,9.5,Temperatur (täglicher Maximalwert; Würzburg)
54,2010-02-24,11.3,Temperatur (täglicher Maximalwert; Würzburg)
55,2010-02-25,12.9,Temperatur (täglicher Maximalwert; Würzburg)
56,2010-02-26,11.8,Temperatur (täglicher Maximalwert; Würzburg)
57,2010-02-27,11.3,Temperatur (täglicher Maximalwert; Würzburg)
58,2010-02-28,15.7,Temperatur (täglicher Maximalwert; Würzburg)
59,2010-03-01,8.8,Temperatur (täglicher Maximalwert; Würzburg)
60,2010-03-02,8.1,Temperatur (täglicher Maximalwert; Würzburg)
61,2010-03-03,5.9,Temperatur (täglicher Maximalwert; Würzburg)
62,2010-03-04,4.9,Temperatur (täglicher Maximalwert; Würzburg)
63,2010-03-05,2.6,Temperatur (täglicher Maximalwert; Würzburg)
64,2010-03-06,2.2,Temperatur (täglicher Maximalwert; Würzburg)
65,2010-03-07,0.9,Temperatur (täglicher Maximalwert; Würzburg)
66,2010-03-08,1.8,Temperatur (täglicher Maximalwert; Würzburg)
67,2010-03-09,2.0,Temperatur (täglicher Maximalwert; Würzburg)
68,2010-03-10,4.1,Temperatur (täglicher Maximalwert; Würzburg)
69,2010-03-11,3.7,Temperatur (täglicher Maximalwert; Würzburg)
70,2010-03-12,3.5,Temperatur (täglicher Maximalwert; Würzburg)
71,2010-03-13,5.1,Temperatur (täglicher Maximalwert; Würzburg)
72,2010-03-14,5.9,Temperatur (täglicher Maximalwert; Würzburg)
73,2010-03-15,7.4,Temperatur (täglicher Maximalwert; Würzburg)
74,2010-03-16,8.1,Temperatur (täglicher Maximalwert; Würzburg)
75,2010-03-17,11.7,Temperatur (täglicher Maximalwert; Würzburg)
76,2010-03-18,16.7,Temperatur (täglicher Maximalwert; Würzburg)
77,2010-03-19,17.5,Temperatur (täglicher Maximalwert; Würzburg)
78,2010-03-20,16.5,Temperatur (täglicher Maximalwert; Würzburg)
79,2010-03-21,15.8,Temperatur (täglicher Maximalwert; Würzburg)
80,2010-03-22,13.2,Temperatur (täglicher Maximalwert; Würzburg)
81,2010-03-23,15.0,Temperatur (täglicher Maximalwert; Würzburg)
82,2010-03-24,19.4,Temperatur (täglicher Maximalwert; Würzburg)
83,2010-03-25,21.7,Temperatur (täglicher Maximalwert; Würzburg)
84,2010-03-26,22.4,Temperatur (täglicher Maximalwert; Würzburg)
85,2010-03-27,11.3,Temperatur (täglicher Maximalwert; Würzburg)
86,2010-03-28,12.5,Temperatur (täglicher Maximalwert; Würzburg)
87,2010-03-29,14.8,Temperatur (täglicher Maximalwert; Würzburg)
88,2010-03-30,18.4,Temperatur (täglicher Maximalwert; Würzburg)
89,2010-03-31,12.5,Temperatur (täglicher Maximalwert; Würzburg)
90,2010-04-01,9.2,Temperatur (täglicher Maximalwert; Würzburg)
91,2010-04-02,11.0,Temperatur (täglicher Maximalwert; Würzburg)
92,2010-04-03,13.1,Temperatur (täglicher Maximalwert; Würzburg)
93,2010-04-04,13.2,Temperatur (täglicher Maximalwert; Würzburg)
94,2010-04-05,11.0,Temperatur (täglicher Maximalwert; Würzburg)
95,2010-04-06,15.4,Temperatur (täglicher Maximalwert; Würzburg)
96,2010-04-07,18.8,Temperatur (täglicher Maximalwert; Würzburg)
97,2010-04-08,18.5,Temperatur (täglicher Maximalwert; Würzburg)
98,2010-04-09,16.0,Temperatur (täglicher Maximalwert; Würzburg)
99,2010-04-10,12.5,Temperatur (täglicher Maximalwert; Würzburg)
100,2010-04-11,10.9,Temperatur (täglicher Maximalwert; Würzburg)
101,2010-04-12,7.3,Temperatur (täglicher Maximalwert; Würzburg)
102,2010-04-13,10.5,Temperatur (täglicher Maximalwert; Würzburg)
103,2010-04-14,14.2,Temperatur (täglicher Maximalwert; Würzburg)
104,2010-04-15,9.7,Temperatur (täglicher Maximalwert; Würzburg)
105,2010-04-16,16.3,Temperatur (täglicher Maximalwert; Würzburg)
106,2010-04-17,15.5,Temperatur (täglicher Maximalwert; Würzburg)
107,2010-04-18,19.5,Temperatur (täglicher Maximalwert; Würzburg)
108,2010-04-19,20.5,Temperatur (täglicher Maximalwert; Würzburg)
109,2010-04-20,18.4,Temperatur (täglicher Maximalwert; Würzburg)
110,2010-04-21,11.7,Temperatur (täglicher Maximalwert; Würzburg)
111,2010-04-22,13.1,Temperatur (täglicher Maximalwert; Würzburg)
112,2010-04-23,17.6,Temperatur (täglicher Maximalwert; Würzburg)
113,2010-04-24,21.1,Temperatur (täglicher Maximalwert; Würzburg)
114,2010-04-25,23.4,Temperatur (täglicher Maximalwert; Würzburg)
115,2010-04-26,19.0,Temperatur (täglicher Maximalwert; Würzburg)
116,2010-04-27,19.9,Temperatur (täglicher Maximalwert; Würzburg)
117,2010-04-28,21.5,Temperatur (täglicher Maximalwert; Würzburg)
118,2010-04-29,26.4,Temperatur (täglicher Maximalwert; Würzburg)
119,2010-04-30,22.4,Temperatur (täglicher Maximalwert; Würzburg)
120,2010-05-01,15.5,Temperatur (täglicher Maximalwert; Würzburg)
121,2010-05-02,15.2,Temperatur (täglicher Maximalwert; Würzburg)
122,2010-05-03,15.5,Temperatur (täglicher Maximalwert; Würzburg)
123,2010-05-04,15.1,Temperatur (täglicher Maximalwert; Würzburg)
124,2010-05-05,13.4,Temperatur (täglicher Maximalwert; Würzburg)
125,2010-05-06,8.2,Temperatur (täglicher Maximalwert; Würzburg)
126,2010-05-07,8.5,Temperatur (täglicher Maximalwert; Würzburg)
127,2010-05-08,14.6,Temperatur (täglicher Maximalwert; Würzburg)
128,2010-05-09,15.6,Temperatur (täglicher Maximalwert; Würzburg)
129,2010-05-10,13.8,Temperatur (täglicher Maximalwert; Würzburg)
130,2010-05-11,19.0,Temperatur (täglicher Maximalwert; Würzburg)
131,2010-05-12,15.4,Temperatur (täglicher Maximalwert; Würzburg)
132,2010-05-13,11.1,Temperatur (täglicher Maximalwert; Würzburg)
133,2010-05-14,10.1,Temperatur (täglicher Maximalwert; Würzburg)
134,2010-05-15,11.7,Temperatur (täglicher Maximalwert; Würzburg)
135,2010-05-16,16.0,Temperatur (täglicher Maximalwert; Würzburg)
136,2010-05-17,16.8,Temperatur (täglicher Maximalwert; Würzburg)
137,2010-05-18,13.2,Temperatur (täglicher Maximalwert; Würzburg)
138,2010-05-19,8.9,Temperatur (täglicher Maximalwert; Würzburg)
139,2010-05-20,12.8,Temperatur (täglicher Maximalwert; Würzburg)
140,2010-05-21,17.5,Temperatur (täglicher Maximalwert; Würzburg)
141,2010-05-22,23.9,Temperatur (täglicher Maximalwert; Würzburg)
142,2010-05-23,24.2,Temperatur (täglicher Maximalwert; Würzburg)
143,2010-05-24,26.3,Temperatur (täglicher Maximalwert; Würzburg)
144,2010-05-25,24.7,Temperatur (täglicher Maximalwert; Würzburg)
145,2010-05-26,17.6,Temperatur (täglicher Maximalwert; Würzburg)
146,2010-05-27,18.4,Temperatur (täglicher Maximalwert; Würzburg)
147,2010-05-28,19.8,Temperatur (täglicher Maximalwert; Würzburg)
148,2010-05-29,21.6,Temperatur (täglicher Maximalwert; Würzburg)
149,2010-05-30,18.3,Temperatur (täglicher Maximalwert; Würzburg)
150,2010-05-31,13.5,Temperatur (täglicher Maximalwert; Würzburg)
151,2010-06-01,17.2,Temperatur (täglicher Maximalwert; Würzburg)
152,2010-06-02,16.7,Temperatur (täglicher Maximalwert; Würzburg)
153,2010-06-03,21.7,Temperatur (täglicher Maximalwert; Würzburg)
154,2010-06-04,24.1,Temperatur (täglicher Maximalwert; Würzburg)
155,2010-06-05,26.9,Temperatur (täglicher Maximalwert; Würzburg)
156,2010-06-06,29.5,Temperatur (täglicher Maximalwert; Würzburg)
157,2010-06-07,23.0,Temperatur (täglicher Maximalwert; Würzburg)
158,2010-06-08,26.8,Temperatur (täglicher Maximalwert; Würzburg)
159,2010-06-09,28.9,Temperatur (täglicher Maximalwert; Würzburg)
160,2010-06-10,30.3,Temperatur (täglicher Maximalwert; Würzburg)
161,2010-06-11,26.1,Temperatur (täglicher Maximalwert; Würzburg)
162,2010-06-12,23.9,Temperatur (täglicher Maximalwert; Würzburg)
163,2010-06-13,20.7,Temperatur (täglicher Maximalwert; Würzburg)
164,2010-06-14,18.6,Temperatur (täglicher Maximalwert; Würzburg)
165,2010-06-15,23.0,Temperatur (täglicher Maximalwert; Würzburg)
166,2010-06-16,22.5,Temperatur (täglicher Maximalwert; Würzburg)
167,2010-06-17,19.8,Temperatur (täglicher Maximalwert; Würzburg)
168,2010-06-18,22.2,Temperatur (täglicher Maximalwert; Würzburg)
169,2010-06-19,16.3,Temperatur (täglicher Maximalwert; Würzburg)
170,2010-06-20,18.0,Temperatur (täglicher Maximalwert; Würzburg)
171,2010-06-21,18.0,Temperatur (täglicher Maximalwert; Würzburg)
172,2010-06-22,20.9,Temperatur (täglicher Maximalwert; Würzburg)
173,2010-06-23,23.4,Temperatur (täglicher Maximalwert; Würzburg)
174,2010-06-24,26.6,Temperatur (täglicher Maximalwert; Würzburg)
175,2010-06-25,28.4,Temperatur (täglicher Maximalwert; Würzburg)
176,2010-06-26,26.2,Temperatur (täglicher Maximalwert; Würzburg)
177,2010-06-27,28.7,Temperatur (täglicher Maximalwert; Würzburg)
178,2010-06-28,30.8,Temperatur (täglicher Maximalwert; Würzburg)
179,2010-06-29,31.2,Temperatur (täglicher Maximalwert; Würzburg)
180,2010-06-30,29.5,Temperatur (täglicher Maximalwert; Würzburg)
181,2010-07-01,30.9,Temperatur (täglicher Maximalwert; Würzburg)
182,2010-07-02,33.4,Temperatur (täglicher Maximalwert; Würzburg)
183,2010-07-03,34.7,Temperatur (täglicher Maximalwert; Würzburg)
184,2010-07-04,27.8,Temperatur (täglicher Maximalwert; Würzburg)
185,2010-07-05,28.4,Temperatur (täglicher Maximalwert; Würzburg)
186,2010-07-06,23.4,Temperatur (täglicher Maximalwert; Würzburg)
187,2010-07-07,26.7,Temperatur (täglicher Maximalwert; Würzburg)
188,2010-07-08,30.7,Temperatur (täglicher Maximalwert; Würzburg)
189,2010-07-09,34.8,Temperatur (täglicher Maximalwert; Würzburg)
190,2010-07-10,35.8,Temperatur (täglicher Maximalwert; Würzburg)
191,2010-07-11,34.7,Temperatur (täglicher Maximalwert; Würzburg)
192,2010-07-12,36.2,Temperatur (täglicher Maximalwert; Würzburg)
193,2010-07-13,29.7,Temperatur (täglicher Maximalwert; Würzburg)
194,2010-07-14,35.0,Temperatur (täglicher Maximalwert; Würzburg)
195,2010-07-15,26.7,Temperatur (täglicher Maximalwert; Würzburg)
196,2010-07-16,33.1,Temperatur (täglicher Maximalwert; Würzburg)
197,2010-07-17,25.8,Temperatur (täglicher Maximalwert; Würzburg)
198,2010-07-18,25.6,Temperatur (täglicher Maximalwert; Würzburg)
199,2010-07-19,27.4,Temperatur (täglicher Maximalwert; Würzburg)
200,2010-07-20,29.0,Temperatur (täglicher Maximalwert; Würzburg)
201,2010-07-21,34.7,Temperatur (täglicher Maximalwert; Würzburg)
202,2010-07-22,27.3,Temperatur (täglicher Maximalwert; Würzburg)
203,2010-07-23,21.9,Temperatur (täglicher Maximalwert; Würzburg)
204,2010-07-24,21.3,Temperatur (täglicher Maximalwert; Würzburg)
205,2010-07-25,22.2,Temperatur (täglicher Maximalwert; Würzburg)
206,2010-07-26,19.5,Temperatur (täglicher Maximalwert; Würzburg)
207,2010-07-27,21.3,Temperatur (täglicher Maximalwert; Würzburg)
208,2010-07-28,18.5,Temperatur (täglicher Maximalwert; Würzburg)
209,2010-07-29,21.6,Temperatur (täglicher Maximalwert; Würzburg)
210,2010-07-30,21.7,Temperatur (täglicher Maximalwert; Würzburg)
211,2010-07-31,26.6,Temperatur (täglicher Maximalwert; Würzburg)
212,2010-08-01,28.9,Temperatur (täglicher Maximalwert; Würzburg)
213,2010-08-02,23.2,Temperatur (täglicher Maximalwert; Würzburg)
214,2010-08-03,20.9,Temperatur (täglicher Maximalwert; Würzburg)
215,2010-08-04,23.5,Temperatur (täglicher Maximalwert; Würzburg)
216,2010-08-05,18.3,Temperatur (täglicher Maximalwert; Würzburg)
217,2010-08-06,16.5,Temperatur (täglicher Maximalwert; Würzburg)
218,2010-08-07,23.7,Temperatur (täglicher Maximalwert; Würzburg)
219,2010-08-08,23.4,Temperatur (täglicher Maximalwert; Würzburg)
220,2010-08-09,23.1,Temperatur (täglicher Maximalwert; Würzburg)
221,2010-08-10,26.2,Temperatur (täglicher Maximalwert; Würzburg)
222,2010-08-11,24.6,Temperatur (täglicher Maximalwert; Würzburg)
223,2010-08-12,20.5,Temperatur (täglicher Maximalwert; Würzburg)
224,2010-08-13,21.2,Temperatur (täglicher Maximalwert; Würzburg)
225,2010-08-14,23.2,Temperatur (täglicher Maximalwert; Würzburg)
226,2010-08-15,22.2,Temperatur (täglicher Maximalwert; Würzburg)
227,2010-08-16,17.3,Temperatur (täglicher Maximalwert; Würzburg)
228,2010-08-17,16.6,Temperatur (täglicher Maximalwert; Würzburg)
229,2010-08-18,19.3,Temperatur (täglicher Maximalwert; Würzburg)
230,2010-08-19,21.7,Temperatur (täglicher Maximalwert; Würzburg)
231,2010-08-20,26.3,Temperatur (täglicher Maximalwert; Würzburg)
232,2010-08-21,29.0,Temperatur (täglicher Maximalwert; Würzburg)
233,2010-08-22,30.2,Temperatur (täglicher Maximalwert; Würzburg)
234,2010-08-23,24.4,Temperatur (täglicher Maximalwert; Würzburg)
235,2010-08-24,21.4,Temperatur (täglicher Maximalwert; Würzburg)
236,2010-08-25,20.7,Temperatur (täglicher Maximalwert; Würzburg)
237,2010-08-26,26.1,Temperatur (täglicher Maximalwert; Würzburg)
238,2010-08-27,23.0,Temperatur (täglicher Maximalwert; Würzburg)
239,2010-08-28,17.2,Temperatur (täglicher Maximalwert; Würzburg)
240,2010-08-29,16.4,Temperatur (täglicher Maximalwert; Würzburg)
241,2010-08-30,14.0,Temperatur (täglicher Maximalwert; Würzburg)
242,2010-08-31,18.2,Temperatur (täglicher Maximalwert; Würzburg)
243,2010-09-01,18.4,Temperatur (täglicher Maximalwert; Würzburg)
244,2010-09-02,18.5,Temperatur (täglicher Maximalwert; Würzburg)
245,2010-09-03,19.8,Temperatur (täglicher Maximalwert; Würzburg)
246,2010-09-04,19.7,Temperatur (täglicher Maximalwert; Würzburg)
247,2010-09-05,19.3,Temperatur (täglicher Maximalwert; Würzburg)
248,2010-09-06,19.2,Temperatur (täglicher Maximalwert; Würzburg)
249,2010-09-07,13.8,Temperatur (täglicher Maximalwert; Würzburg)
250,2010-09-08,15.0,Temperatur (täglicher Maximalwert; Würzburg)
251,2010-09-09,17.0,Temperatur (täglicher Maximalwert; Würzburg)
252,2010-09-10,20.6,Temperatur (täglicher Maximalwert; Würzburg)
253,2010-09-11,22.2,Temperatur (täglicher Maximalwert; Würzburg)
254,2010-09-12,23.4,Temperatur (täglicher Maximalwert; Würzburg)
255,2010-09-13,18.1,Temperatur (täglicher Maximalwert; Würzburg)
256,2010-09-14,17.3,Temperatur (täglicher Maximalwert; Würzburg)
257,2010-09-15,16.9,Temperatur (täglicher Maximalwert; Würzburg)
258,2010-09-16,16.4,Temperatur (täglicher Maximalwert; Würzburg)
259,2010-09-17,16.9,Temperatur (täglicher Maximalwert; Würzburg)
260,2010-09-18,16.0,Temperatur (täglicher Maximalwert; Würzburg)
261,2010-09-19,16.4,Temperatur (täglicher Maximalwert; Würzburg)
262,2010-09-20,20.2,Temperatur (täglicher Maximalwert; Würzburg)
263,2010-09-21,21.2,Temperatur (täglicher Maximalwert; Würzburg)
264,2010-09-22,22.4,Temperatur (täglicher Maximalwert; Würzburg)
265,2010-09-23,24.4,Temperatur (täglicher Maximalwert; Würzburg)
266,2010-09-24,21.5,Temperatur (täglicher Maximalwert; Würzburg)
267,2010-09-25,12.9,Temperatur (täglicher Maximalwert; Würzburg)
268,2010-09-26,13.6,Temperatur (täglicher Maximalwert; Würzburg)
269,2010-09-27,14.2,Temperatur (täglicher Maximalwert; Würzburg)
270,2010-09-28,10.7,Temperatur (täglicher Maximalwert; Würzburg)
271,2010-09-29,15.0,Temperatur (täglicher Maximalwert; Würzburg)
272,2010-09-30,14.9,Temperatur (täglicher Maximalwert; Würzburg)
273,2010-10-01,12.3,Temperatur (täglicher Maximalwert; Würzburg)
274,2010-10-02,14.2,Temperatur (täglicher Maximalwert; Würzburg)
275,2010-10-03,20.7,Temperatur (täglicher Maximalwert; Würzburg)
276,2010-10-04,19.5,Temperatur (täglicher Maximalwert; Würzburg)
277,2010-10-05,19.6,Temperatur (täglicher Maximalwert; Würzburg)
278,2010-10-06,16.8,Temperatur (täglicher Maximalwert; Würzburg)
279,2010-10-07,15.6,Temperatur (täglicher Maximalwert; Würzburg)
280,2010-10-08,18.3,Temperatur (täglicher Maximalwert; Würzburg)
281,2010-10-09,17.9,Temperatur (täglicher Maximalwert; Würzburg)
282,2010-10-10,18.1,Temperatur (täglicher Maximalwert; Würzburg)
283,2010-10-11,18.3,Temperatur (täglicher Maximalwert; Würzburg)
284,2010-10-12,16.4,Temperatur (täglicher Maximalwert; Würzburg)
285,2010-10-13,13.8,Temperatur (täglicher Maximalwert; Würzburg)
286,2010-10-14,14.2,Temperatur (täglicher Maximalwert; Würzburg)
287,2010-10-15,11.7,Temperatur (täglicher Maximalwert; Würzburg)
288,2010-10-16,9.3,Temperatur (täglicher Maximalwert; Würzburg)
289,2010-10-17,10.0,Temperatur (täglicher Maximalwert; Würzburg)
290,2010-10-18,10.6,Temperatur (täglicher Maximalwert; Würzburg)
291,2010-10-19,7.0,Temperatur (täglicher Maximalwert; Würzburg)
292,2010-10-20,9.7,Temperatur (täglicher Maximalwert; Würzburg)
293,2010-10-21,8.5,Temperatur (täglicher Maximalwert; Würzburg)
294,2010-10-22,7.1,Temperatur (täglicher Maximalwert; Würzburg)
295,2010-10-23,12.2,Temperatur (täglicher Maximalwert; Würzburg)
296,2010-10-24,11.8,Temperatur (täglicher Maximalwert; Würzburg)
297,2010-10-25,8.8,Temperatur (täglicher Maximalwert; Würzburg)
298,2010-10-26,10.2,Temperatur (täglicher Maximalwert; Würzburg)
299,2010-10-27,11.1,Temperatur (täglicher Maximalwert; Würzburg)
300,2010-10-28,14.9,Temperatur (täglicher Maximalwert; Würzburg)
301,2010-10-29,17.1,Temperatur (täglicher Maximalwert; Würzburg)
302,2010-10-30,17.5,Temperatur (täglicher Maximalwert; Würzburg)
303,2010-10-31,13.5,Temperatur (täglicher Maximalwert; Würzburg)
304,2010-11-01,16.1,Temperatur (täglicher Maximalwert; Würzburg)
305,2010-11-02,9.6,Temperatur (täglicher Maximalwert; Würzburg)
306,2010-11-03,14.9,Temperatur (täglicher Maximalwert; Würzburg)
307,2010-11-04,17.4,Temperatur (täglicher Maximalwert; Würzburg)
308,2010-11-05,15.1,Temperatur (täglicher Maximalwert; Würzburg)
309,2010-11-06,13.9,Temperatur (täglicher Maximalwert; Würzburg)
310,2010-11-07,7.6,Temperatur (täglicher Maximalwert; Würzburg)
311,2010-11-08,8.0,Temperatur (täglicher Maximalwert; Würzburg)
312,2010-11-09,11.5,Temperatur (täglicher Maximalwert; Würzburg)
313,2010-11-10,10.9,Temperatur (täglicher Maximalwert; Würzburg)
314,2010-11-11,8.4,Temperatur (täglicher Maximalwert; Würzburg)
315,2010-11-12,14.1,Temperatur (täglicher Maximalwert; Würzburg)
316,2010-11-13,16.7,Temperatur (täglicher Maximalwert; Würzburg)
317,2010-11-14,19.2,Temperatur (täglicher Maximalwert; Würzburg)
318,2010-11-15,13.4,Temperatur (täglicher Maximalwert; Würzburg)
319,2010-11-16,5.4,Temperatur (täglicher Maximalwert; Würzburg)
320,2010-11-17,5.0,Temperatur (täglicher Maximalwert; Würzburg)
321,2010-11-18,6.6,Temperatur (täglicher Maximalwert; Würzburg)
322,2010-11-19,8.9,Temperatur (täglicher Maximalwert; Würzburg)
323,2010-11-20,5.8,Temperatur (täglicher Maximalwert; Würzburg)
324,2010-11-21,5.1,Temperatur (täglicher Maximalwert; Würzburg)
325,2010-11-22,5.1,Temperatur (täglicher Maximalwert; Würzburg)
326,2010-11-23,3.6,Temperatur (täglicher Maximalwert; Würzburg)
327,2010-11-24,4.5,Temperatur (täglicher Maximalwert; Würzburg)
328,2010-11-25,2.2,Temperatur (täglicher Maximalwert; Würzburg)
329,2010-11-26,1.7,Temperatur (täglicher Maximalwert; Würzburg)
330,2010-11-27,-0.6,Temperatur (täglicher Maximalwert; Würzburg)
331,2010-11-28,1.1,Temperatur (täglicher Maximalwert; Würzburg)
332,2010-11-29,-1.2,Temperatur (täglicher Maximalwert; Würzburg)
333,2010-11-30,-1.8,Temperatur (täglicher Maximalwert; Würzburg)
334,2010-12-01,-4.3,Temperatur (täglicher Maximalwert; Würzburg)
335,2010-12-02,-5.0,Temperatur (täglicher Maximalwert; Würzburg)
336,2010-12-03,-8.2,Temperatur (täglicher Maximalwert; Würzburg)
337,2010-12-04,-3.5,Temperatur (täglicher Maximalwert; Würzburg)
338,2010-12-05,2.1,Temperatur (täglicher Maximalwert; Würzburg)
339,2010-12-06,1.1,Temperatur (täglicher Maximalwert; Würzburg)
340,2010-12-07,1.6,Temperatur (täglicher Maximalwert; Würzburg)
341,2010-12-08,2.0,Temperatur (täglicher Maximalwert; Würzburg)
342,2010-12-09,0.7,Temperatur (täglicher Maximalwert; Würzburg)
343,2010-12-10,1.5,Temperatur (täglicher Maximalwert; Würzburg)
344,2010-12-11,3.9,Temperatur (täglicher Maximalwert; Würzburg)
345,2010-12-12,3.7,Temperatur (täglicher Maximalwert; Würzburg)
346,2010-12-13,-0.6,Temperatur (täglicher Maximalwert; Würzburg)
347,2010-12-14,-2.8,Temperatur (täglicher Maximalwert; Würzburg)
348,2010-12-15,-2.7,Temperatur (täglicher Maximalwert; Würzburg)
349,2010-12-16,-2.3,Temperatur (täglicher Maximalwert; Würzburg)
350,2010-12-17,-1.9,Temperatur (täglicher Maximalwert; Würzburg)
351,2010-12-18,-2.7,Temperatur (täglicher Maximalwert; Würzburg)
352,2010-12-19,4.5,Temperatur (täglicher Maximalwert; Würzburg)
353,2010-12-20,5.3,Temperatur (täglicher Maximalwert; Würzburg)
354,2010-12-21,2.5,Temperatur (täglicher Maximalwert; Würzburg)
355,2010-12-22,2.9,Temperatur (täglicher Maximalwert; Würzburg)
356,2010-12-23,3.7,Temperatur (täglicher Maximalwert; Würzburg)
357,2010-12-24,1.9,Temperatur (täglicher Maximalwert; Würzburg)
358,2010-12-25,-3.7,Temperatur (täglicher Maximalwert; Würzburg)
359,2010-12-26,-6.5,Temperatur (täglicher Maximalwert; Würzburg)
360,2010-12-27,-1.8,Temperatur (täglicher Maximalwert; Würzburg)
361,2010-12-28,-2.4,Temperatur (täglicher Maximalwert; Würzburg)
362,2010-12-29,-4.1,Temperatur (täglicher Maximalwert; Würzburg)
363,2010-12-30,-5.1,Temperatur (täglicher Maximalwert; Würzburg)
364,2010-12-31,-0.8,Temperatur (täglicher Maximalwert; Würzburg)
365,2011-01-01,1.1,Temperatur (täglicher Maximalwert; Würzburg)
366,2011-01-02,1.3,Temperatur (täglicher Maximalwert; Würzburg)
367,2011-01-03,1.1,Temperatur (täglicher Maximalwert; Würzburg)
368,2011-01-04,-3.5,Temperatur (täglicher Maximalwert; Würzburg)
369,2011-01-05,-4.7,Temperatur (täglicher Maximalwert; Würzburg)
370,2011-01-06,6.8,Temperatur (täglicher Maximalwert; Würzburg)
371,2011-01-07,7.5,Temperatur (täglicher Maximalwert; Würzburg)
372,2011-01-08,12.4,Temperatur (täglicher Maximalwert; Würzburg)
373,2011-01-09,11.3,Temperatur (täglicher Maximalwert; Würzburg)
374,2011-01-10,1.8,Temperatur (täglicher Maximalwert; Würzburg)
